PMID/PMCID	Publisher	Journal title	Article title	COST (£) charged to Wellcome (inc VAT when charged)
PMCID: 3502862	Elsevier	Current Biology	BLOC-3 MUTATED IN HERMANSKY-PUDLAK SYNDROM IS A RAB32/38 GUANINE NUCLEOTIDE EXCHANGE FACTOR	3798.93
PMID: 22902756  PMC3485558 	Elsevier	Current Biology	Distinct and overlapping roles for AP-1 and GGAs revealed by the 'knocksideways' system	3830.32
PMCID: PMC 3525857	Elsevier	Current Biology	NAADP activates two-pore channels on T cell cytolytic granules to stimulate exocytosis and killing	3857.16
PMC3510434	Elsevier	Current Biology	Brain structure links loneliness to social perception	3879.05
PMC3580286 	Elsevier	Current Biology	Vinculin regulates the recruitment and release of core focal adhesion proteins in a force-dependent manner	3883.86
"PMC3566480

"	Elsevier	Current Biology	M1 corticospinal mirror neurons and their role in movement suppression during action observation	3992.37
PMC3661981	Elsevier	Current Biology	Locomotion Controls Spatial Integration in Mouse Visual Cortex	4077.52
	Elsevier	Current Biology	A fovea for pain at the fingertips	4112.54
PMC3410033	Springer	Current Obstetrics and Gynecology Reports	Insights into Assessing the Genetics in Endometriosis	2321.55
	Elsevier	Current Opinion in Neurobiology	Analysing connectivity with Granger causality and dynamic causal modelling	2378.95
2.3932517E7	Elsevier	Current Opinion Microbiology	The asexual cycle of apicomplexan parasites: new findings that raise new questions.	2979
PMID: 23267662	Elsevier	Current Opinion in Neurobiology	Updating dopamine reward signals	2429.17
2.3409763E7	Bentham	Current Topics in Medicinal Chemistry	The Therapeutic Potential of Allosteric Ligands for Free Fatty Acid Sensitive GPCRs	2291.22
3638371	Wiley-Blackwell	Cytoskeleton	The kinetics of force-induced cell reorganization depend on microtubules and actin	1977.72
2.3183928E7	Royal Society of Chemistry	Dalton Transactions	Inframolecular acid-base and coordination properties towards Na(+) and Mg(2+) of myo-inositol 1,3,4,5,6-pentakisphosphate: a structural approach to biologically relevant species.	1632
PMID: 23935057	Oxford University Press	Database	metabolicMine: an integrated genomics, genetics and proteomics data warehouse for common metabolic disease research	960
	Wiley-Blackwell	Depression and Anxiety	Mothers’ own recollections of being parented and risk of offspring’s depression 18 years later: A prospective cohort study	2368.42
PMID:24118397	Wiley-Blackwell	Dermatologic Surgery	Infiltrative recurrent eccrine spiradenoma of the anterior neck treated by Mohs micrographic surgery	2257.56
3662995	Wiley-Blackwell	Developing World Bioethics	Feedback of research findings for vaccine trials: experiences from two malaria vaccine trials involving healthy children on the Kenyan coast.	1834.77
3662994	Wiley-Blackwell	Developing World Bioethics	Working with community health workers as 'volunteers' in a vaccine trial: practical and ethical experiences and implications.	1834.77
3662993	Wiley-Blackwell	Developing World Bioethics	Field workers at the interface.	1834.77
3662996	Wiley-Blackwell	Developing World Bioethics	Evolving friendships and shifting ethical dilemmas: Fieldworkers' experiences in a short term community based study in Kenya.	1834.77
3654571	Wiley-Blackwell	Developing World Bioethics	Engaging communities to strengthen research ethics in low-income settings: selection and perceptions of members of a network of representatives in coastal Kenya.	1834.77
	Transcript Verlag	Developing World Bioethics	Rethinking biomedicine and governance in Africa:Contributions from anthropology	1653.02
PMC3674534	Wiley-Blackwell	Developing World Bioethics	She's my sister-in-law, my visitor, my friend' -- challenges of staff identity in home follow-up in an HIV trial in Western Kenya.	1954.14
PMC3654560	Wiley-Blackwell	Developing World Bioethics	Ethical challenges that arise at the community interface of health research: village reports experiences in Western Kenya.	1982.68
3509734	The Company of Biologists	Development	Dishevelled limits Notch signalling through inhibition of CSL	1044
3621487	The Company of Biologists	Development	A Cul-3-BTB ubiquitylation pathway regulates junctional levels and asymmetry of core planar polarity proteins	1620
PMC3152927	The Company of Biologists	Development	VEGF signalling controls GnRH neuron survival via NRP1 independently of KDR and blood vessels	1620
PMID: 23861059	The Company of Biologists	Development	Cell and tissue dynamics during Tribolium castaneum embryogenesis revealed by versatile fluorescence labeling approaches	2400
PMCID: PMC3737725	The Company of Biologists	Development	The Nm23-H1/H2 homolog NDK-1 is required for full activation of Ras signaling in C. elegans	2400
	The Company of Biologists	Development	Eph/Ephrin signalling maintains the segregation of eye field cells from adjacent neural plate territories during forebrain morphogenesis	2400
"PMC3699283

"	The Company of Biologists	Development	Syndecan 4 interacts genetically with Vangl2 to regulate neural tube closure and planar cell polarity	2400
PMC3640218 	The Company of Biologists	Development	ProNGF promotes neurite growth from a subset of NGF-dependent neurons by a p75NTR-dependent mechanism	1620
"PMCID:
    PMC3583043
"	The Company of Biologists	Development	The transcriptional co-factor RIP140 regulates mammary gland development by promoting the generation of key mitogenic signals.	1620
PMCID: 3437444	Elsevier	DEVELOPMENT CELL	SMCHD1-DEPENDENT & INDEPENDENT PATHWAYS DETERMINE DEVELOPMENT DYNAMICS OF CPG ISLAND METHYLATION ON THE INACTIVE X CHROMOSOME	3630.64
3698701	Wiley-Blackwell	Development Dynamics	Expression of glycosaminoglycan epitopes during zebrafish skeletogenesis	2400
PMCID: PMC3644191	Springer	Development Genes and Evolution	Snail-dependant repression of the RhoGEF pebble is required for gastrulation consistency in Drosophila melanogaster	2230.1
22925518 PMC3593001	Wiley-Blackwell	Development Science	Nine-month-old infants do not need to know what the agent prefers in order to	2351.81
PMCID: PMC3677094	Elsevier	Developmental Biology	The mechanisms of planar cell polarity, growth and the Hippo pathway: Some known unknowns	1981.38
"PMC3603409

"	The Company of Biologists	Developmental Cell	Limk2 mediates semaphorin signalling in cortical interneurons migrating through the subpallium	1044
	Elsevier	Developmental Cell	Chromosome engineering allows the efficient isolation of vertebrate neocentromeres.	364.17
PMC3414849	Elsevier	Developmental Cell	Forkhead transcription factor Fd3F cooperates with Rfx to regulate a gene expression program for mechanosensory cilia specialisation	2987
PMC3507630 	Elsevier	Developmental Cell	Rab25 and CLIC3 Collaborate to Promote Integrin Recycling from Late Endosomes/Lysosomes and Drive Cancer Progression	3575.88
	Elsevier	Developmental Cell	Changes in Ect2 Localization Couple Actomyosin-Dependent Cell Shape Changes to Mitotic Progression	3781.63
PMID: 23177648 PMC3521961 	Elsevier	Developmental Cell	Molecular basis for recognition of dilysine trafficking motifs by COPI	3845.38
	Elsevier	Developmental Cell	The Neuropilin 1 Cytoplasmic Domain Is Required for VEGF-A-Dependent Arteriogenesis	3877.46
3178012	Elsevier	Developmental Cell	Brat promotes stem cell differentiation via control of a bistable switch that restricts BMP signaling	3877.48
3782659	Elsevier	Developmental Cell	Autoregulatory feedback controls sequential action of cis-regulatory modules at the brinker locus	3975.75
PMC3730058	Elsevier	Developmental Cell	Daughter cell identity emerges from the interplay of Cdc42, septins, and exocytosis 	4002.42
"PMC3659288

"	Elsevier	Developmental Cell	Hec1-dependent cyclin B2 stabilisation regulates the G2-M transition and early prometaphase in mouse oocytes	4076.38
3605578	Elsevier	Developmental Cell	Syndecan-4 phosphorylation is a control point for integrin recycling	4099.71
Epub ahead of print - June 2013	Elsevier	Developmental Cognitive Neuroscience	The influence of reading ability on subsequent changes in verbal IQ in the teenage years	1764.06
"PMC3682176

"	Elsevier	Developmental Cognitive Neuroscience	Predicting IQ change from brain structure: A cross-validation study	2457.25
	Wiley-Blackwell	Developmental Science	The relationship between puberty and social emotion processing	1500
PMC3586655	Wiley-Blackwell	Diabetic Medicine	Sequencing PDX1 (insulin promoter factor 1) in 1788 UK individuals found 5% had a low frequency coding variant, but these variants are not associated with Type 2 diabetes.	2304.31
PMC3654556	Wiley-Blackwell	Diabetic Medicine	Biallelic PDX1 (insulin promoter factor 1) mutations causing neonatal diabetes without exocrine pancreatic insufficiency	2310.95
-	Wiley-Blackwell	Diabetic Medicine	Urinary C-peptide Creatinine Ratio (UCPCR) detects absolute insulin deficiency in type 2 diabetes	2384.1
PMID: 23398374 PMC3709123 	Wiley-Blackwell	Diabetic Medicine	HLA class II gene associations in African American type 1 diabetes reveal a protective HLA-DRB*03 haplotype	2377.66
PMCID: PMC3648684	Springer	Diabetologia	Colocalisation and secretion of glucagon-like peptide-1 and peptide YY from promary cultutred human L-cells	2211.52
PMCID: PMC3699707	Springer	Diabetologia	Predicted impact of extending the screening interval for diabetic retinopathy: the Scottish Diabetic Retinopathy Screening programme	2289.06
PMC3737433	Springer	Diabetologia	Improved genetic testing for monogenic diabetes using targeted next-generation sequencing	2315.7799999999997
3525856	Elsevier	Diagnostic Microbiology and Infectious Disease	Comparison of a Frozen Human Foreskin Fibroblast Cell Assay to an Enzyme Immunoassay and Toxigenic Culture for the Detection of Toxigenic Clostridium difficile	2252.53
3597032	The Company of Biologists	Disease Models and Mechanisms	Inflammation drives wound hyperpigmentation in zebrafish by recruiting pigment cells to sites of tissue damage	1620
PMC3820264	The Company of Biologists	Disease Models and Mechanisms	A novel transgenic mouse model of growth plate dysplasia reveals that decreased chondrocyte proliferation due to chronic ER stress is a key factor in reduced bone growth	2400
PMC3746115	Wiley-Blackwell	Drug and Alcohol Review	Brief intervention content matters.	1966.31
PMC3586630	Wiley-Blackwell	Ecology and Evolution	The bacterial parasite Pasteuria ramosa is not killed if it fails to infect: implications for coevolution	1440
epub	Wiley-Blackwell	Ecology Letters	Differential sources of host species heterogeneity influence the transmission and control of multi-host parasites	2388.08
PMID: 22171404	Wiley-Blackwell	Economic History Review	The decline of adult smallpox in eighteenth-century London	1901.02
22155499 PMC3381227	Elsevier	Elsevier	Age related changes in microglial phenotype vary between CNS regions: grey versus white matter differences.	2152.76
20800751 PMC3778978	Elsevier	Elsevier	The role of self-structure and self-certainty in social anxiety	2174.85
24064150 PMC3849851	Elsevier	Elsevier	Birth status, childgrowth nd adult outcomes in low and middle income countries	2198.03
23620154 PMC3638368	Elsevier	Elsevier	Transformation of a plasmid-free, genital tract isolate of Chlamydia trachomatis with a plasmid vector carrying a deletion in CDS6 revealed that this gene regulates inclusion phenotype	2269.15
22591621 PMC3427858	Elsevier	Elsevier	Are slum dwellers at heightened risk of HIV infection than other urban residents? Evidence from population-based HIV prevalence surveys in Kenya	2312.3
21680110 PMC3629561	Elsevier	Elsevier	Clinician and service user perceptions of implementing contingency management: A focus group study	2470.86
23541370 PMC3744751	Elsevier	Elsevier	Effects of relative weight gain and linear growth during early life on adult health and human capital in countries of low and middle income: findings from five birth cohort studies	4800
23511972 PMC3630358 	Nature Publishing Group	EMBO Journal	Structure of a bacterial type IV secretion core complex at subnanometer resolution	3120
3671254	Nature Publishing Group	EMBO Journal	SENP3-mediated DeSUMOylation of dynamin-related protein 1 Promotes Cell Death Following Ischemia	3120
 PMC3791366 	Nature Publishing Group	EMBO Journal	Identification of the missing pluripotency mediator downstream of leukaemia inhibitory factor	3120
PMCID: PMC3545308	Nature Publishing Group	EMBO Journal	Dissecting the mechanisms of Notch induced hyperplasia	3120
PMCID: PMC3616287	Nature Publishing Group	EMBO Journal	PDK1 regulates VDJ recombination, cell-cycle exit and survival during B-cell development	3120
PMCID: PMC3770947	Nature Publishing Group	EMBO Journal	A cyclic GMP-dependent signalling pathway regulates bacterial phytopathogenesis.	3120
PMC3642681	Nature Publishing Group	EMBO Journal	Distinct roles for Sir2 and RNAi in centromeric heterochromatin nucleation, spreading and maintenance	3120
3512392	Nature Publishing Group	EMBO Journal	Molecular basis for SNX-BAR-mediated assembly of distinct endosomal sorting tubules	3120
PMC3377085	Wiley-Blackwell	EMBO Molecular Medicine	Links between genetics and pathophysiology in the autism spectrum disorders	2252.44
"PMCID:
    PMC3531601"	Wiley-Blackwell	EMBO Molecular Medicine	Defining critical roles for NF-kB p65 and type I interferon in innate immunity to rhinovirus	2868.08
"PMC3628103

"	Wiley-Blackwell	EMBO Molecular Medicine	Long-term p110alpha PI3K inactivation exerts a beneficial effect on metabolism	3078.92
2.3999103E7	Nature Publishing Group	EMBO Reports	Chemerin15 inhibits neutrophil-mediated vascular inflammation and myocardial ischemia-reperfusion injury through ChenR23	3120
PMID: 23670199  PMC3701237 	Nature Publishing Group	EMBO Reports	Prdm14 promotes germline fate and naïve pluripotency by7 repressing FGF signalling and DNA methylation	3120
PMCID: PMC3615658	Nature Publishing Group	EMBO Reports	Physiological release of endogenous tau is stimulated by neuronal activity	3120
PMC3444304	American Psychological Association	Emotion	Subjective responses to emotional stimuli during labeling, reappraisal, and distraction 	2534.53
-	Elsevier	Endeavour	Family influence and psychiatric care: physical treatments in Devon mental hospitals, c. 1920 to the 1970s	615.72
	Elsevier	Endeavour	Understanding life together: a brief history of collaboration in biology	2419.71
2828806	Society for Endocrinology	Endocrine Related Cancer	Glucocorticoid receptor over expression promotes human small cell lung cancer apoptosis in vivo and thereby slows tumor growth	1150
3480985	Endocrine Society	Endocrinology	Circadian and ultradian rhythms of free glucocorticoid hormone are highly synchronized between the blood, the subcutaneous tissue, and the brain	2350.99
3724961	Endocrine Society	Endocrinology	Adaptive changes in basal and stress-induced HPA activity in lactating and post-lactating female rats	2352.94
PMC3724960	The Endocrine Society	Endocrinology	Gastric expression of plasminogen activator inhibitor (PAI)-1 is associated with hyperphagia and obesity in mice	1875
PMCID: PMC3568261	The Endocrine Society	Endocrinology	The programming of cardiac hypertrophy in the offspring by maternal obesity is associated with hyperinsulinemia, AKT, ERK and mTOR activation	1864.86
"PMCID:
    PMC3544356
"	The Endocrine Society	Endocrinology	Short-term pharmacological suppression of the hyperprolactinemia of infertile hCG overproducing female mice persistently restores their fertility	2246.22
"PMCID: PMC3507354
"	The Endocrine Society	Endocrinology	Neurochemical characterization of body weight-regulating leptin receptor neurons in the nucleus of the solitary tract	2247.02
-	Taylor and Francis	English Studies	We Cannot Be Greek Now: Age Difference, Corruption of Youth and the Making of Sexual Inversion	2475.6
PMC3836409 	Pion	Environment and Planning A	Transnational families and the family nexus: perspectives of Indonesian and Filipino children left behind by migrant parent(s)	1800
PMC 3487483	Cambridge University Press	Epidemiology and Infection	Molecular epidemiology of human campylobacter jejuni shows association between seasonal and international patterns of disease	1800
"PMC3757920

"	Cambridge University Press	Epidemiology and Infection	Tracking sickness through social networks â€“ the practical use of social network mapping in supporting the management of an E.coli O157 outbreak in a primary school in London	2034
PMC3469460	Landes Bioscience	Epigenetics	"Human-specific CpG ""beacons"" identify loci associated with human-specific traits and disease"	487.9
	Landes Bioscience	Epigenetics	Integrated virus-host methylome analysis in head and neck squamous cell carcinoma	493.07
PMC3741215	Landes Bioscience	Epigenetics	On your histone mark, SET, methylate!	409.78000000000003
PMC3592903	Landes Bioscience	Epigenetics	SETD6 monomethylates H2AZ on lysine 7 and is required for the maintenance of embryonic stem cell self-renewal	607.54
	Wiley-Blackwell	Epilepsia	Structural correlates of impaired working memory in hippocampal sclerosis	1500
3734649	Wiley-Blackwell	Epilepsia	The Genetic Risk of Acute Seizures in African Children with Falciparum Malaria 	1834.77
2.3750825E7	Wiley-Blackwell	Epilepsia	Incidence of convulsive epilepsy in a rural area in Kenya.	1834.77
"PMC3682189


"	Elsevier	Epilepsy Research	Assessing hippocampal functional reserve in temporal lobe epilepsy: A multi-voxel pattern analysis of fMRI data	2483.12
PMID:22928509 PMC3707360	Portland Press	Essays in Biochemistry	Cells wars: regulation of cell survival and proliferation by cell competition	270
3534410	Taylor and Francis	Ethn Health	'All her children are born that way': gendered experiences of stigma in families affected by sickle cell disorder in rural Kenya.	1987.56
PMC3697472	American Society for Microbiology	Eukaryotic Cell	Discovery of a sexual cycle in Aspergillus lentulus, a close relative of A. fumigatus.	1653.18
PMC3571300	American Society for Microbiology	Eukaryotic Cell	Evidence for recycling of invariant surface trans-membrane domain proteins in African trypanosomes	2316.16
2.3881859E7	Wiley-Blackwell	Eur J Immunol	Long-lived Plasmodium falciparum-specific memory B cells in naturally exposed Swedish Travellers.	1834.77
2361679	Springer	European Child and Adolescent Psychiatry	Autistic Traits in ADHD in index clinical and cognitive problems	2331.95
23385540 PMC3669511 	Springer	European Child and Adolescent Psychiatry	Are parental ADHD problems associated with a more severe clinical presentation and greater family adversity in children with ADHD ?	2285.92
Epub ahead of print - june 2013	Oxford University Press	European Heart Journal Online	SCORE performance in Central and Eastern Europe and former Soviet Union: MONICA and HAPIEE results	2040
	Sage	European History Quarterly	Images and Meaning - Making in a World of Resemblance: The Bavarian-Saxon Kidney Stone Affair of 1580.	800
PMC3526775	Elsevier	European Journal of cell Biology	Vinculin, an adapter protein in control of cell adhesion signalling	2228
PMC3414696	Springer	European Journal of Clinical Pharmacology	Pattern of asthma medication use among children in a large urban centre in Brazil.	1632.89
23132696 PMC3547489 	BioScientifica	European Journal of Endocrinology	Novel H6PDH mutations in two girls with premature adrenarche	1200
"PMC3599069

"	European Society of Endocrinolog	European Journal of Endocrinology	Clinical and Molecular Characterisation of 300 patients with Congenital Hyperinsulinism	1440
-	Taylor and Francis	European Journal of English Studies	Obscurity and gender resistance in Patricia Duncker's James Miranda Barry	2260.8
PMC3672507	Springer	European Journal of Epidemiology	Hazardous alcohol consumption is associated with increased levels of B-type natriuretic peptide: evidence from two population-based studies	1899.66
3696174	Springer	European Journal of Epidemiology	High life in the sky? Mortality by floor of residence in Switzerland	2220.9
	Brill	European Journal of Health Law	Adding value? : EU governance of organ donation and transplantation	779.72
PMC3476715 (Available 01/11/12)	Nature Publishing Group	European Journal of Human Genetics	CNVs leading to fusion-transcripts in individuals with autism spectrum disorder	2400
2.3632796E7	Nature Publishing Group	European Journal of Human Genetics	Whole exome sequencing, without prior linkage, identifies a mutation in LAMB3 as a cause of dominant hypoplastic amelogenesis imperfecta	2400
PMCID: PMC3298641	Wiley-Blackwell	European Journal of Immunology	CD6 attenuates early and late signaling events, setting thresholds for T-cell activation	2256.65
PMC3615169	Wiley-Blackwell	European Journal of Immunology	ICOS controls Foxp3+ regulatory T cell expansion, maintenance, and IL-10 production during helminth infection	1820.09
PMCID: PMC3734624	Wiley-Blackwell	European Journal of Immunology	AMPKα1: A glucose sensor that controls CD8 T-cell memory.	2020.25
22965681 PMC3657127 	Wiley-Blackwell	European Journal of Immunology	Avidity of influenza-specific memory CD8+ T cell populations decays over time	2269
22653709 PMC3781703 	Wiley-Blackwell	European Journal of Immunology	Rapid early innate control of hepatitis C virus during IFN-a treatment compromises adaptive CD4+ T-cell immunity	2380.96
"PMCID:
    PMC3615172"	Wiley-Blackwell	European Journal of Immunology	Dendritic cell modification as a route to inhibiting corneal graft rejection by the indirect pathway of allorecognition	1635
PMC3816330 	Wiley-Blackwell	European Journal of Immunology	Salmonella polarises peptide-MHC-II presentation towards an unconventional Type B CD4+ T-cell response	2320.19
PMCID: PMC3655539	Wiley-Blackwell	European Journal of Immunology	Ubiquitination of HLA-DO by MARCH family E3 ligases	2377.33
PMC3526772	Elsevier	European Journal of Medical Genetics	Array Comparative Genomic Hybridization: Results from an adult population with drug-resistant epilepsy and co-morbidities	2281.08
23707654 PMC3744815 	Elsevier	European Journal of Medical Genetics	The internet is parents main source of information about psychiatric manifestationsof 22q11.2 deletion syndrome	2468.5
	Wiley-Blackwell	 European Journal of Neuroscience	Parallelism in the brain's visual form system	1500
Epub ahead of print pub Jan 2013, print in press	Sage	European Journal of Preventive Cardiology	Smoking cessation interventions following acute coronary syndrome: a missed opportunity?	1920
PMID: 23172732 PMC3784797 	Oxford University Press	European Journal of Public Health	Family and home influences on children's after-school and weekend physical activity	1800
3791403	Elsevier	European Neuropsychopharmacology	Systematic Review and Meta Analysis of Serotonin Transporter Genotype and Discontinuation from Antidepressant Treatment	2325.59
PMC3738845	Springer	European Radiology	The effect of a tuberculosis chest X-ray image reference set on non-expert reader performance	2263.18
	European Respiratory Society	European Respiratory Journal	The impact of COPD on health status: findings from teh BOLD study	2340
PMC3472025	Wiley-Blackwell	Evaluation in Clinical Practice	Unreasonable reasons: normative judgements in the assessment of mental capacity	2300.38
Monograph chapter, not in PMC	Berhahn Books	Evidence, Ethos and Experiment:  Anthropology and History of Medical Research in Africa.	Parasite lost - remembering modern times with Kenyan government medical scientists.	651.25
Monograph chapter, not in PMC	Berhahn Books	Evidence, Ethos and Experiment:  Anthropology and History of Medical Research in Africa.	Studying trial Communities: anthropological and historical enquiries and ethos, politics and economy of medical research in Africa.	651.25
PMCID: PMC3750810	BioMed Central	EvoDevo	Early embryonic determination of the sexual dimorphism in segment number in geophilomorph centipedes	1564.5
PMC3795443	Wiley-Blackwell	Evolution	Spite versus cheats: competition among social strategies shapes virulence in Pseudomonas aeruginosa	2184.22
	Wiley-Blackwell	Evolution	Is HIV short-sighted? Insights from a multi-strain nested model	2374.52
PMC3684743	Wiley-Blackwell	Evolutionary Applications	Costs of crowding for the transmission of malaria parasites	1524
PMID: 23371752 PMC3745826 	Springer	Experimental Brain Research	Cue integration and the perception of action in intentional binding	1889.1
"PMC3745827

"	Springer	Experimental Brain Research	The psychology of volition	2076.55
PMC3632754	Elsevier	Experimental Cell Research	Perturbation of invadolysin disrupts cell migration in zebrafish (Danio rerio)	2488.17
"PMC3562441

"	Elsevier	Experimental Eye Research	Ccl2, Cx3r1 and Ccl2/Cx3cr1 chemokine deficiencies are not sufficient to cause age-related retinal degeneration	2395.43
PMID:23220237 PMC3630327	Elsevier	Experimental Hematology	Gene Set Control Analysis (GSCA) predicts haematopoietic control mechanisms from genome-wide transcription factor binding data	2328.24
PMCID: PMC3782662	Elsevier	Experimental Neurology	The late response of rat subependymal zone stem and progenitor cells to stroke is restricted to directly affected areas of their niche	1771.93
PMC3556781	Elsevier	Experimental Neurology	ErbB1 epidermal growth factor receptor is a valid target for reducing the effects of multiple inhibitors of axonal regeneration	2380.28
2.3183165E7	Elsevier	Experimental Parasitology	Development of a multiplex PCR assay for simultaneous detection of Theileria annulata, Babesia bovis and Anaplasma marginale in cattle	2329.56
PMID: 23538029 PMC3659828 	Elsevier	Experimental Parasitology	Cell density-dependent ectopic expression in bloodstream form Trypanosoma brucei	2441.16
"PMC3470925

"	Wiley-Blackwell	Experimental Physiology	Remote Ischaemic pre- and delayed post conditioning	1894.94
PMID: 23879611	Informa Healthcare	Expert Reviews in Anti-infective Chemotherapy	Advocacy, policies and practicalities of preventive chemotherapy campaigns for African children with schistosomiasis	1700
PMC3219211	Cambridge University Press	Expert Reviews in Molecular Medicine	Pharmacological targets in the ubiquitin system offer new ways of treating cancer, neurodegenerative disorders and infectious diseases.	1800
2.291907E7	FASEB	FASEB Journal	Chemically engineering ligand selectivity at the free fatty acid receptor 2 based on pharmacological variation between species orthologs	1513.14
	FASEB	FASEB Journal	Dysfunction of the autophagy/lysosomal degradation pathway is a shared feature of the genetic synucleinopathies	1663.37
2.3982145E7	FASEB	FASEB Journal	The CB1 receptor mediates the peripheral effects of ghrelin on AMPK activity but not on growth hormone release	1920.98
PMC3819510	FASEB	FASEB Journal	Endothelial cell junctional adhesion molecule plays a key role in the development of tumours in a murine model…	1953.12
PMID: 23118027 	Federation of American Societies for Experimental Biology	FASEB Journal	The immunoglobulin domain of the sodium channel β3 subunit contains a surface-localized disulfide bond that is required for homophilic binding	1866.72
PMC3767752	Federation of American Societies for Experimental Biology	FASEB Journal	The cellular prion protein traps Alzheimer's Alpha? In an oligomeric form and disassembles amyloid fibers	2014.3700000000001
"PMCID:
    PMC3513842
"	Federation of the American Societies of Experimental Biology	FASEB Journal	Epididymal protein Rnase10 is required for post-testicular sperm maturation and male fertility	1857.8200000000002
23170778 PMC3572582 	Wiley-Blackwell	FEBS Journal	Crystal structures of murine angiogenin-2 and -3-probing 'structure--function' relationships amongst angiogenin homologues.	2246.21
23082758 PMC3564407	Wiley-Blackwell	FEBS Journal	Structural basis of peptide recognition by the angiotensin-1 converting enzyme homologue AnCE from Drosophila melanogaster.	2247.05
23517310 PMC3734648 	Wiley-Blackwell	FEBS Journal	Adenosin-5'-phosphosulfate (APS) - a multifaceted modulator of bifunctional PAPS synthases and related enzymes	1500
print due Sept 13	Wiley-Blackwell	FEBS Journal	Recent progress in satellite cell/myoblast engraftment: relevance for therapy	1500
2.3506317E7	Wiley-Blackwell	FEBS Journal	Substrate specificity and the effect of calcium on Trypanosoma brucei metacaspase 2	2430
PMID: 23627368  PMC3806363	Wiley-Blackwell	FEBS Journal	The architecture of Trypanosoma brucei tubulin-binding cofactor B and implications for function	2334.91
	Elsevier	FEBS Letters	Ca2+-calmodulin inhibits tail-anchored protein insertion into the mammalian endoplasmic reticulum membrane	2228
PMCID: PMC3640159	Elsevier	FEBS Letters	Sialic acids acquired by Pseudomonas aeruginosa are involved in reduced complement deposition and siglec mediated host-cell recognition.	2244.57
	Elsevier	FEBS Letters	Structural and functional evidence for a substrate exclusion mechanism in mammalian tolloid like-1 (TLL-1) proteinase	2362.82
PMCID: PMC3655261	Elsevier	FEBS Letters	IFNβ autocrine feedback is required to sustain TLR induced production of MCP-1 in macrophages	2465.93
PMC3476528	Elsevier	FEBS Letters	Concerted action of the PHD, chromo and motor domains regulates the human chromatin remodelling ATPase CHD4.	2143.17
23650598  PMC3642154 	Elsevier	FEBS Open Bio	'CD248 expression on mesenchymal stromal cells is required for post-natal and infection-dependent thymus remodelling and regeneration	1254.25
23772376 PMC3668512	Elsevier	FEBS Open Bio	Crystal structure of human angiogenin with an engineered loop exhibits conformational flexibility at the functional regions of the molecule.	1171.02
PMID : 23763300	Wiley-Blackwell	FEMS Microbiology Letters	bkaR is a TetR-type repressor that controls an operon associated with branched-chain keto-acid metabolism in Mycobacteria.	2008.84
-	Wiley-Blackwell	FEMS Microbiology Letters	Identification of type II toxin-antitoxin modules in Burkholderia pseudomallei	2337.66
PMC3644883	Wiley-Blackwell	FEMS Microbiology Letters	Stress signalling to fungal stress-activated protein kinase pathways	1985.1
PMC3500872	Wiley-Blackwell	FEMS Microbiology Letters	Selective binding of virulence type III export chaperones by FliJ escort orthologues InvI and YscO	2275.02
PMC3502866	Elsevier	Fertility and Sterility	Is early age at menarche a risk factor for endometriosis? A systematic review and meta-analysis of case-control studies.	2169.98
PMC3679489	Elsevier	Fertility and Sterility	Impact of endometriosis on quality of life and work productivity: a multicenter study across ten countries.	2373.76
PMC3679490	Elsevier	Fertility and Sterility	Developing symptom-based predictive models of endometriosis as a clinical screening tool: results from a multicenter study.	2373.76
3684770	Elsevier	Free Radical and Biology Medicine	S[+]apomorphine is a CNS penetrating activator of the Nrf2-ARE pathway with activity in mouse and patient fibroblast models of amyotrophic lateral sclerosis	1755.59
PMC3584288 	Nature Publishing Group	Frontiers	Visual surround suppression in schizophrenia	808.85
"PMC3689257



"	Frontiers	Frontiers in Auditory Cognitive Neuroscience	The brain basis of musicophilia: evidence from frontotemporal lobar degeneration	815.98
3685810	Frontiers	Frontiers in Behavioral Neuroscience	Flow parsing and heading perception show similar dependence on quality and quantity of optic flow	813.9
3689323	Frontiers	Frontiers in Behavioral Neuroscience	Heading recovery from optic flow: comparing performance of humans and computational models	813.9
"PMC3677134

"	Frontiers	Frontiers in Brain Imaging Methods	Quantitative multiparameter mapping of R1, PD*, MT and R2* at 3T: a multicenter validation	1087.97
PMC3521128	Frontiers	Frontiers in Brain Imaging Methods	Measuring abnormal brains: building normative rules in Neuroimaging using one-class support vector machines	476.57
	Frontiers	Frontiers in Cellular Neuroscience	Wnts in action: from synapse formation to synaptic maintenance	725.76
PMC3668263 	Frontiers	Frontiers in Cellular Neuroscience	LRRK2: an Eminence grise of Wnt-mediated neurogenesis	821.98
"PMC3644713

"	Frontiers	Frontiers in Cognition	Persistence of internal representations of alternative voluntary actions	808.22
	Frontiers	Frontiers in Cognitive Science	Exploration, Novelty, Surprise and Free Energy Minimisation	434.7
PMC3715722	Frontiers	Frontiers in Consciousness Research	Adaptation to implied tilt: extensive spatial extrapolation of orientation gradients.	711.11
"PMC3747673

"	Frontiers	Frontiers in Decision Neuroscience	The chronometry of risk processing in the human cortex	1392.61
3759789	Frontiers	Frontiers in Developmental Psychology	Severity of specific language impairment predicts delayed development in number skills	840.19
	Frontiers	Frontiers in Electrophysiology	Bridging the gap between computation and clinical biology: validation of cable theory in humans	827.13
