DOI/PMID,Cost type,Cost (€),Article title,Journal title,Publisher,Year of publication,Open Access,Notes
10.1038/onc.2012.78,Other publication costs," € 1,383.71 ",Minor cell-death defects but reduced tumor latency in mice lacking the BH3-only proteins Bad and Bmf,Oncogene,NATURE PUBLISHING GROUP,2013,,
10.1097/TP.0b013e318280b385,Hybrid Open Access," € 2,280.35 ",miRNA Profiling Discriminates Types of Rejection and Injury in Human Renal Allografts.,Transplantation,"LIPPINCOTT, WILLIAMS & WILKINS",2013,OA,
10.1097/TP.0b013e318280b385,Other publication costs, € 448.47 ,miRNA Profiling Discriminates Types of Rejection and Injury in Human Renal Allografts.,Transplantation,"LIPPINCOTT, WILLIAMS & WILKINS",2013,OA,
10.1007/s00424-013-1383-0,Hybrid Open Access," € 2,618.00 ",Mitochondrial Ca2+ uniporter (MCU)-dependent and MCU-independent Ca2+ channels coexist in the inner mitochondrial membrane.,Pflugers Archiv European Journal of Physiology,SPRINGER VERLAG,2013,OA,
10.1002/btpr.1649,Hybrid Open Access," € 2,400.00 ",Model-based analysis on the extractability of information from data in dynamic fed-batch experiments.,AICHE Journal,WILEY-BLACKWELL,2013,OA,
10.1016/j.commatsci.2013.05.015,Hybrid Open Access," € 2,230.21 ",Modeling diffusion-governed solidification of ternary alloys – Part 1: Coupling solidification kinetics with thermodynamics.,Computational Materials Science,ELSEVIER,2013,OA,
10.1016/j.envsoft.2011.04.001,Hybrid Open Access," € 1,986.62 ",Modelling highly variable environmental factors to assess potential microbial respiration in complex floodplain landscapes.,Environmental Modelling and Software,ELSEVIER,2011,OA,immediate OA 07.04.2011
10.1016/j.micromeso.2012.04.052,Hybrid Open Access," € 1,986.62 ",Modelling the adsorption of short alkanes in protonated chabazite: The impact of dispersion forces and temperature.,Microporous and Mesoporous Materials,ELSEVIER,2013,OA,
10.1016/j.bbamem.2012.12.016,Hybrid Open Access," € 2,709.15 ",Molecular basis of the facilitation of the heterooligomeric GIRK1/GIRK4 complex by cAMP dependent protein kinase.,Biochimica et Biophysica Acta - Biomembranes,ELSEVIER,2013,OA,
10.1007/s10822-013-9645-7,Hybrid Open Access," € 2,618.00 ",Molecular dynamics simulations give insight into d-glucose dioxidation at C2 and C3 by Agaricus meleagris pyranose dehydrogenase.,Journal of Computer-Aided Molecular Design,SPRINGER VERLAG,2013,OA,
10.1016/j.abb.2012.01.017,Hybrid Open Access," € 2,347.83 ",Molecular evolution of hydrogen peroxide degrading enzymes.,Archives of Biochemistry and Biophysics,ELSEVIER,2012,OA,
10.1016/j.fsigen.2012.10.012,Hybrid Open Access," € 2,257.62 ",Molecular genetic investigations on Austria's patron saint Leopold III.,Forensic Science International,ELSEVIER,2013,OA,
10.1021/bi300802a,Hybrid Open Access," € 2,058.62 ",Molecular Insight into Propeptide-Protein Interactions in Cathepsins L and O,Biochemistry,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1016/j.ympev.2013.07.002,Hybrid Open Access," € 2,676.26 ",Molecular phylogenetics of New Caledonian Diospyros (Ebenaceae) using plastid and nuclear markers.,Molecular Phylogenetics and Evolution,ELSEVIER,2013,OA,
10.1016/j.ympev.2013.07.002,Other publication costs," € 1,235.38 ",Molecular phylogenetics of New Caledonian Diospyros (Ebenaceae) using plastid and nuclear markers.,Molecular Phylogenetics and Evolution,ELSEVIER,2013,OA,
10.1074/jbc.M113.462259,Hybrid Open Access," € 1,546.76 ",Molecularly Distinct Routes of Mitochondrial Ca2+ Uptake Are Activated Depending on the Activity of the Sarco/Endoplasmic Reticulum Ca2+ ATPase (SERCA).,Journal of Biological Chemistry,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY (ASBMB),2013,OA,
10.1074/jbc.M113.462259,Other publication costs," € 1,136.87 ",Molecularly Distinct Routes of Mitochondrial Ca2+ Uptake Are Activated Depending on the Activity of the Sarco/Endoplasmic Reticulum Ca2+ ATPase (SERCA).,Journal of Biological Chemistry,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY (ASBMB),2013,OA,
10.1021/am401958e,Hybrid Open Access," € 1,969.01 ",Molecularly Imprinted Polymer Microspheres Containing Photoswitchable Spiropyran-Based Binding Sites.,ACS applied materials & interfaces,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.apsusc.2012.06.089,Other publication costs, € 395.29 ,Monitoring preparation and phase transitions of carburized W(1 1 0) by reflectance difference spectroscopy.,Applied Surface Science,ELSEVIER,2012,OA,
10.1021/om400114h,Hybrid Open Access," € 2,050.96 ","Monoaryloxide Pyrrolide (MAP) Imido Alkylidene Complexes of Molybdenum and Tungsten That Contain 2,6-Bis(2,5-R2-pyrrolyl)phenoxide (R = i-Pr, Ph) Ligands and an Unsubstituted Metallacyclobutane on Its Way to Losing Ethylene.",Organometallics,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.3390/s130202196,Gold Open Access," € 1,331.00 ",Monolithically Integrated Mid-Infrared Quantum Cascade Laser and Detector.,Sensors,MDPI,2013,OA,
10.1016/j.jtbi.2011.03.024,Hybrid Open Access," € 2,979.94 ",Moral assessment in indirect reciprocity.,Journal of Theoretical Biology,ELSEVIER,2012,OA,
10.1107/S1600536812046405,Gold Open Access, € 118.14 ,Morphine hydrochloride anhydrate.,Acta Crystallographica Section E: Structure Reports Online,INTERNATIONAL UNION OF CRYSTALLOGRAPHY,2012,OA,
10.11646/zootaxa.3619.3.1,Hybrid Open Access, € 718.34 ,Morphological analysis of the oribatid mite species Scutovertex pannonicus Schuster and description of its juvenile stages (Acari: Oribatida: Scutoverticidae).,Zootaxa,MAGNOLIA PRESS,2013,OA,
10.1111/j.1550-7408.2012.00638.x,Other publication costs," € 3,901.68 ",Morphological and Molecular Characterization of Paramecium (Viridoparamecium nov. subgen.) chlorelligerum Kahl (Ciliophora).,Journal of Eukaryotic Microbiology,WILEY-BLACKWELL,2012,,
10.1021/cg3010823,Hybrid Open Access," € 2,058.62 ",Morphological and Structural Investigation of Sexithiophene Growth on KCl (100).,Crystal Growth and Design,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1007/s13127-012-0121-3,Hybrid Open Access," € 2,380.00 ","Morphology, microanatomy and sequence data of Sclerolinum contortum (Siboglindae, Annelida) of the Gulf of Mexico.",Organisms Diversity and Evolution,SPRINGER VERLAG,2013,OA,
10.1016/j.jesp.2013.08.002,Hybrid Open Access," € 1,684.61 ",Motion cues that make an impression: Predicting perceived personality by minimal motion information.,Journal of Experimental Social Psychology,ELSEVIER,2013,OA,
10.1016/j.enggeo.2012.12.019,Hybrid Open Access," € 2,676.26 ",Mountain torrents: Quantifying vulnerability and assessing uncertainties.,Engineering Geology,ELSEVIER,2013,OA,
10.1016/j.neuron.2011.09.022,Hybrid Open Access," € 4,515.25 ",Mouse inscuteable induces apical-Basal spindle orientation to facilitate intermediate progenitor generation in the developing neocortex.,Neuron,ELSEVIER,2011,OA,Immediate OA 28.09.2011
10.1016/j.chroma.2013.09.072,Hybrid Open Access," € 2,999.11 ",Multi-capillary-column proton-transfer-reaction time-of-flight mass spectrometry.,Journal of Chromatography A,ELSEVIER,2013,OA,
10.1016/j.chroma.2013.09.072,Other publication costs," € 3,528.00 ",Multi-capillary-column proton-transfer-reaction time-of-flight mass spectrometry.,Journal of Chromatography A,ELSEVIER,2013,OA,
10.1016/j.cor.2012.03.010,Hybrid Open Access," € 2,347.83 ",Multi-directional local search.,Computers and Operations Research,ELSEVIER,2012,OA,
10.1007/s11557-013-0900-z,Hybrid Open Access," € 2,640.00 ","Multigene phylogeny, taxonomy and reclassification of Hyaloperonospora on Cardamine.",Mycological Progress,SPRINGER VERLAG,2013,OA,
10.5194/angeo-31-135-2013,Gold Open Access, € 547.40 ,Multi-instrument comparisons of D-region plasma measurements.,Annales Geophysicae,COPERNICUS PUBLICATIONS,2013,OA,
10.1103/PhysRevLett.110.090405,Hybrid Open Access," € 2,005.82 ",Multimode Dynamics and Emergence of a Characteristic Length Scale in a One-Dimensional Quantum System.,Physical Review Letters,AMERICAN PHYSICAL SOCIETY (APS),2013,OA,
10.1103/PhysRevLett.110.090405,Other publication costs," € 1,040.05 ",Multimode Dynamics and Emergence of a Characteristic Length Scale in a One-Dimensional Quantum System.,Physical Review Letters,AMERICAN PHYSICAL SOCIETY (APS),2013,OA,
10.1111/fwb.12104,Hybrid Open Access," € 2,400.00 ",Multiple environmental stressors confine the ecological niche of the rotifer Cephalodella acidophila,Freshwater Biology,WILEY-BLACKWELL,2013,OA,
10.1016/j.cub.2013.06.043,Hybrid Open Access," € 4,460.43 ",Multiple Mechanisms Contribute to Centriole Separation in C. elegans.,Current Biology,ELSEVIER,2013,OA,
10.1016/j.cub.2013.06.043,Other publication costs," € 1,245.94 ",Multiple Mechanisms Contribute to Centriole Separation in C. elegans.,Current Biology,ELSEVIER,2013,OA,
10.1088/0004-637X/758/1/10,Other publication costs," € 1,320.34 ",MULTI-POINT SHOCK AND FLUX ROPE ANALYSIS OF MULTIPLE INTERPLANETARY CORONAL MASS EJECTIONS AROUND 2010 AUGUST 1 IN THE INNER HELIOSPHERE.,Astrophysical Journal,AMERICAN ASTRONOMICAL SOCIETY,2012,,
10.1093/nar/gkt703,Gold Open Access," € 3,456.00 ",Mus81 nuclease and Sgs1 helicase are essential for meiotic recombination in a protist lacking a synaptonemal complex.,Nucleic Acids Research,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.1186/1754-6834-6-62,Gold Open Access," € 1,728.90 ",Mutation of the Xylanase regulator 1 causes a glucose blind hydrolase expressing phenotype in industrially used Trichoderma strains.,Biotechnology for Biofuels,BIOMED CENTRAL,2013,OA,
10.1371/journal.pcbi.1002909,Gold Open Access," € 1,757.10 ",Mutational Analysis of the High-Affinity Zinc Binding Site Validates a Refined Human Dopamine Transporter Homology Model.,PLoS Computational Biology,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.ejmg.2013.02.002,Hybrid Open Access," € 2,676.26 ",Mutations at Ser331 in the HSN type I gene SPTLC1 are associated with a distinct syndromic phenotype.,European Journal of Medical Genetics,ELSEVIER,2013,OA,
10.1016/j.celrep.2012.11.017,Gold Open Access," € 4,515.25 ",Mutations in the ß-Tubulin Gene TUBB5 Cause Microcephaly with Structural Brain Abnormalities.,CELL REPORTS,ELSEVIER,2012,OA,
10.1038/cdd.2012.7,Other publication costs," € 2,155.76 ",Mutual antagonism of TGF-beta and Interleukin-2 in cell survival and lineage commitment of induced regulatory T cells.,Cell Death and Differentiation,NATURE PUBLISHING GROUP,2012,,
10.1371/journal.pone.0064034,Gold Open Access," € 1,075.40 ",Myeloperoxidase-Derived Oxidants Induce Blood-Brain Barrier Dysfunction In Vitro and In Vivo.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1111/nph.12535,Hybrid Open Access," € 2,657.81 ",Myo-inositol oxygenase is important for the removal of excess myo-inositol from syncytia induced by Heterodera schachtii in Arabidopsis roots.,New Phytologist,WILEY-BLACKWELL,2013,OA,
10.1016/j.cretres.2012.04.006,Hybrid Open Access," € 2,709.03 ","Nannofossil biostratigraphy, strontium and carbon isotope stratigraphy, cyclostratigraphy and an astronomically calibrated duration of the Late Campanian Radotruncana calcarata Zone",Cretaceous Research,ELSEVIER,2012,OA,
10.1111/bph.12180,Hybrid Open Access," € 2,400.00 ",N-arachidonoyl glycine suppresses Na+/Ca2+ exchanger-mediated Ca2+ entry into endothelial cells and activates BKCa channels independently of GPCRs.,British Journal of Pharmacology,WILEY-BLACKWELL,2013,OA,
10.1080/00905992.2013.817386,Hybrid Open Access, € 977.33 ,Nationalization campaigns and teachers' practices in Belgian–German and Polish–German border regions (1945–1956).,Nationalities Papers,TAYLOR & FRANCIS,2013,OA,
10.1016/j.ecolind.2012.03.027,Hybrid Open Access," € 1,354.52 ",Natural and socioeconomic determinants of the embodied human appropriation of net primary production and its relation to other resource use indicators.,Ecological Indicators,ELSEVIER,2012,OA,
10.1111/gcb.12367,Hybrid Open Access," € 2,784.48 ",Natural variations in snow cover do not affect the annual soil CO2 efflux from a mid-elevation temperate forest.,Global Change Biology,WILEY-BLACKWELL,2013,OA,
10.1111/j.1550-7408.2012.00620.x,Other publication costs, € 522.44 ,"Neotypification and Ontogenesis of Leptopharynx costatus costatus Mermod, 1914.",Journal of Eukaryotic Microbiology,WILEY-BLACKWELL,2012,,
10.1002/jcc.23490,Hybrid Open Access," € 2,639.10 ",Net charge changes in the calculation of relative ligand-binding free energies via classical atomistic molecular dynamics simulation.,Journal of Computational Chemistry,WILEY-BLACKWELL,2013,OA,
10.1111/gcbb.12071,Hybrid Open Access," € 2,400.00 ",Net land-atmosphere flows of biogenic carbon related to bioenergy: towards an understanding of systemic feedbacks.,Global Change Biology,WILEY-BLACKWELL,2013,OA,
10.1016/j.neuropharm.2012.05.025,Hybrid Open Access," € 2,709.03 ",Neural substrates for the distinct effects of presynaptic group III metabotropic glutamate receptors on extinction of contextual fear conditioning in mice.,Neuropharmacology,ELSEVIER,2013,OA,
10.1007/s00415-012-6736-7,Hybrid Open Access," € 2,400.00 ","Neurogenic orthostatic hypotension: pathophysiology, evaluation, and management.",Journal of Neurology,SPRINGER VERLAG,2012,OA,
10.1111/bph.12354,Hybrid Open Access," € 2,700.46 ",Neuropeptide Y and peptide YY protect from weight loss caused by Bacille Calmette–Guérin in mice.,British Journal of Pharmacology,WILEY-BLACKWELL,2013,OA,
10.1167/iovs.12-10873,Other publication costs, € 420.66 ,Neurovascular Dysfunction Precedes Neural Dysfunction in the Retina of Patients with Type 1 Diabetes.,Investigative Ophthalmology and Visual Science,ASSOCIATION FOR RESEARCH IN VISION AND OPHTHALMOLOGY (ARVO),2013,,
10.1016/j.imbio.2012.11.004,Hybrid Open Access," € 2,709.15 ",Neutrophil gelatinase-associated lipocalin and interleukin-10 regulate intramacrophage Chlamydia pneumoniae replication by modulating intracellular iron homeostasis.,Immunobiology,ELSEVIER,2013,OA,
10.1093/ijpor/edt010,Hybrid Open Access," € 2,340.00 ",New Attempts to Reduce Overreporting of Voter Turnout and Their Effects.,International Journal of Public Opinion Research,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.1021/jp400062y,Hybrid Open Access," € 2,050.96 ","New Class of Molecular Conductance Switches Based on the [1,3]-Silyl Migration from Silanes to Silenes.",Journal of Physical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1111/jzs.12044,Hybrid Open Access," € 2,232.51 ","New data on the phylogeny of Ariantinae (Pulmonata, Helicidae) and the systematic position of Cylindrus obtusus based on nuclear and mitochondrial DNA marker sequences.",Journal of Zoological Systematics and Evolutionary Research,WILEY-BLACKWELL,2013,OA,
10.1093/hmg/ddt260,Hybrid Open Access," € 2,730.00 ",New evidence for positive selection helps explain the paternal age effect observed in achondroplasia.,Human Molecular Genetics,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.1093/hmg/ddt260,Other publication costs," € 1,260.00 ",New evidence for positive selection helps explain the paternal age effect observed in achondroplasia.,Human Molecular Genetics,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.1016/j.talanta.2012.05.039,Hybrid Open Access," € 2,709.03 ",New fluorescent pH sensors based on covalently linkable PET rhodamines.,Talanta,ELSEVIER,2012,OA,
10.1016/j.copbio.2013.02.024,Hybrid Open Access," € 2,676.26 ",New opportunities by synthetic biology for biopharmaceutical production in Pichia pastoris.,Current Opinion in Biotechnology,ELSEVIER,2013,OA,
10.1111/j.1398-9995.2012.02833.x,Other publication costs, € 711.11 ,NI-1: a novel canine mastocytoma model for studying drug resistance and IgER-dependent mast cell activation.,Allergy: European Journal of Allergy and Clinical Immunology,WILEY-BLACKWELL,2012,OA,
10.1084/jem.20121946,Other publication costs," € 4,403.50 ",Nitric oxide–mediated regulation of ferroportin-1 controls macrophage iron homeostasis and immune function in Salmonella infection.,Journal of Experimental Medicine,ROCKEFELLER UNIVERSITY PRESS,2013,,
10.1038/ismej.2013.35,Other publication costs," € 1,095.16 ",Nitrification rates in Arctic soils are associated with functionally distinct populations of ammonia-oxidizing archaea.,ISME Journal,NATURE PUBLISHING GROUP,2013,,
10.1016/j.soilbio.2013.08.004,Hybrid Open Access," € 3,088.44 ",Nitrogen dynamics in Turbic Cryosols from Siberia and Greenland.,Soil Biology and Biochemistry,ELSEVIER,2013,OA,
10.1016/j.ijpddr.2012.04.002,Gold Open Access," € 1,625.42 ",Nitroimidazole drugs vary in their mode of action in the human parasite Giardia lamblia.,International Journal for Parasitology: Drugs and Drug Resistance,ELSEVIER,2012,OA,
10.1042/BJ20130579,Hybrid Open Access," € 3,108.00 ",Nogo-A couples with Apg-1 through interaction and co-ordinate expression under hypoxic and oxidative stress.,Biochemical Journal,PORTLAND PRESS,2013,OA,
10.1042/BJ20130579,Other publication costs, € 446.99 ,Nogo-A couples with Apg-1 through interaction and co-ordinate expression under hypoxic and oxidative stress.,Biochemical Journal,PORTLAND PRESS,2013,OA,
10.1021/jp400401f,Hybrid Open Access," € 2,077.12 ",Nonadiabatic Photodynamics of a Retinal Model in Polar and Nonpolar Environment.,Journal of Physical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1103/PhysRevLett.110.086403,Hybrid Open Access," € 2,549.21 ",Nonequilibrium Dynamical Mean-Field Theory: An Auxiliary Quantum Master Equation Approach.,Physical Review Letters,AMERICAN PHYSICAL SOCIETY (APS),2013,OA,
10.1016/j.pain.2013.04.011,Hybrid Open Access," € 2,676.26 ",Non-Hebbian plasticity at C-fiber synapses in rat spinal cord lamina I neurons.,Pain,ELSEVIER,2013,OA,
10.1103/PhysRevLett.110.193602,Other publication costs, € 539.39 ,Nonlinear Quantum Optomechanics via Individual Intrinsic Two-Level Defects.,Physical Review Letters,AMERICAN PHYSICAL SOCIETY (APS),2013,,
10.1016/j.jfa.2012.12.005,Hybrid Open Access," € 1,354.57 ","Non-smooth atomic decompositions, traces on Lipschitz domains, and pointwise multipliers in function spaces.",Journal of Functional Analysis,ELSEVIER,2013,OA,
10.1021/jp3094935,Hybrid Open Access," € 2,058.62 ",Normal Mode Analysis of the Spectral Density of the Fenna–Matthews–Olson Light-Harvesting Protein: How the Protein Dissipates the Excess Energy of Excitons.,Journal of Physical Chemistry B,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1128/EC.00326-12,Other publication costs," € 2,590.69 ",Novel Bilobe Components in Trypanosoma brucei Identified Using Proximity-Dependent Biotinylation.,Eukaryotic Cell,AMERICAN SOCIETY FOR MICROBIOLOGY (ASM),2013,,
10.3390/d5040750,Gold Open Access, € 425.68 ,Novel Endophytic Trichoderma spp. Isolated from Healthy Coffea arabica Roots are Capable of Controlling Coffee Tracheomycosis.,DIVERSITY,MDPI,2013,OA,
10.1021/cm300996j,Hybrid Open Access," € 2,033.25 ",Novel Sol–Gel Precursors for Thin Mesoporous Eu3+-Doped Silica Coatings as Efficient Luminescent Materials.,Chemistry of Materials,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1016/j.jsbmb.2013.06.002,Hybrid Open Access," € 2,676.26 ",Novel therapeutic approaches for the treatment of castration-resistant prostate cancer.,Journal of Steroid Biochemistry and Molecular Biology,ELSEVIER,2013,OA,
10.1016/j.celrep.2012.05.021,Gold Open Access," € 4,573.87 ",Nuclear RNase P of Trypanosoma brucei: A Single Protein in Place of the Multicomponent RNA-Protein Complex.,CELL REPORTS,ELSEVIER,2012,OA,
10.1016/j.pain.2011.04.016,Hybrid Open Access," € 3,386.29 ","Nucleotides control the excitability of sensory neurons via two P2Y receptors
and a bifurcated signaling cascade.",Pain,ELSEVIER,2011,OA,Immediate OA 13.04.2011
10.1016/j.jedc.2012.04.006,Hybrid Open Access," € 2,979.94 ",Numerical computation of the optimal vector field: Exemplified by a fishery model.,Journal of Economic Dynamics and Control,ELSEVIER,2012,OA,
10.1007/s00214-013-1337-9,Hybrid Open Access," € 2,640.00 ",Numerical investigation of the elastic scattering of hydrogen (isotopes) and helium at graphite (0001) surfaces at beam energies of 1 to 4 eV using a split-step Fourier method.,Theoretical Chemistry Accounts,SPRINGER VERLAG,2013,OA,
10.1016/j.ultras.2012.05.001,Hybrid Open Access," € 1,354.52 ",Numerical modeling of thermoelastic generation of ultrasound by laser irradiation in the coupled thermoelasticity.,Ultrasonics,ELSEVIER,2013,OA,
10.1371/journal.pone.0067544,Gold Open Access," € 1,070.22 ",Oesophagostomum dentatum Extract Modulates T Cell-Dependent Immune Responses to Bystander Antigens and Prevents the Development of Allergy in Mice.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.expneurol.2013.02.002,Hybrid Open Access," € 2,676.26 ",Oligodendroglial alpha-synucleinopathy and MSA-like cardiovascular autonomic failure: Experimental evidence.,Experimental Neurology,ELSEVIER,2013,OA,
10.4155/tde.13.47,Hybrid Open Access," € 2,443.00 ",Oligonucleotide conjugates for therapeutic applications.,THERAPEUTIC DELIVERY,FUTURE SCIENCE GROUP,2013,OA,
10.1016/j.jspi.2012.11.003,Hybrid Open Access," € 1,806.10 ",On conjugate families and Jeffreys priors for von Mises–Fisher distributions.,Journal of Statistical Planning and Inference,ELSEVIER,2013,OA,
10.1007/s00233-012-9455-6,Hybrid Open Access," € 2,380.00 ",On finitely related semigroups.,Semigroup Forum,SPRINGER VERLAG,2012,OA,
10.1016/j.is.2013.05.007,Hybrid Open Access," € 2,765.47 ",On modeling context-aware social collaboration processes.,Information Systems,ELSEVIER,2013,OA,
10.1016/j.jet.2013.05.003,Hybrid Open Access," € 1,605.75 ",On Ramsey's conjecture.,Journal of Economic Theory,ELSEVIER,2013,OA,
10.1002/jgra.50425,Hybrid Open Access," € 3,197.68 ",On the azimuthal size of flux ropes near lunar orbit.,Journal of Geophysical Research,WILEY-BLACKWELL,2013,OA,
10.1002/ejoc.201300439,Hybrid Open Access," € 2,700.00 ",On the Configurational Stability of Chiral Heteroatom-Substituted [D1]Methylpalladium Complexes as Intermediates of Stille and Suzuki–Miyaura Cross-Coupling Reactions.,European Journal of Organic Chemistry,WILEY-BLACKWELL,2013,OA,
10.1016/j.ultras.2013.10.018,Hybrid Open Access," € 1,999.40 ",On the crossing points of the Lamb modes and the maxima and minima of displacements observed at the surface.,Ultrasonics,ELSEVIER,2013,OA,
10.1002/ejic.201201526,Hybrid Open Access," € 2,400.00 ","On the Electronic Structure of mer,trans-[RuCl3(1H-indazole)2(NO)], a Hypothetical Metabolite of the Antitumor Drug Candidate KP1019: An Experimental and DFT Study.",European Journal of Inorganic Chemistry,WILEY-BLACKWELL,2013,OA,
10.1027/0269-8803/a000092,Hybrid Open Access," € 3,000.00 ",On the Individuality of Sleep EEG Spectra.,Journal of Psychophysiology,HOGREFE-VERLAG,2013,OA,
10.1002/ejoc.201301230,Hybrid Open Access," € 2,500.00 ","On the Michael Addition of Water to a,b-Unsaturated Ketones Using Amino Acids.",European Journal of Organic Chemistry,WILEY-BLACKWELL,2013,OA,
10.1016/j.tcs.2012.04.035,Hybrid Open Access," € 2,257.53 ",On the performance of a retransmission-based synchronizer.,Theoretical Computer Science,ELSEVIER,2012,OA,
10.1021/jo301441g,Hybrid Open Access," € 2,058.62 ",On the Preparation and Determination of Configurational Stability of Chiral Thio- and Bromo-[D1]methyllithiums.,Journal of Organic Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1002/ange.201209946,Hybrid Open Access," € 3,360.00 ",One-Pot Deracemization of sec-Alcohols: Enantioconvergent Enzymatic Hydrolysis of Alkyl Sulfates Using Stereocomplementary Sulfatases.,Angewandte Chemie,WILEY-BLACKWELL,2013,OA,
10.1016/j.vaccine.2013.11.036,Hybrid Open Access," € 1,635.88 ",One-shot vaccination with an insect cell-derived low-dose influenza A H7 virus-like particle preparation protects mice against H7N9 challenge.,Vaccine,ELSEVIER,2013,OA,
10.3389/fnhum.2013.00491,Gold Open Access, € 960.00 ,Opposite effects of visual and auditory word-likeness on activity in the visual word form area.,Frontiers in Human Neuroscience,FRONTIERS RESEARCH FOUNDATION,2013,OA,
10.1371/journal.pone.0082351,Gold Open Access," € 1,029.49 ",Optic Nerve Head Blood Flow Autoregulation during Changes in Arterial Blood Pressure in Healthy Young Subjects.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1002/pssr.201307088,Hybrid Open Access," € 2,400.00 ",Optical probe for surface and subsurface defects induced by ion bombardment.,Physica Status Solidi - Rapid Research Letetrs,WILEY-BLACKWELL,2013,OA,
10.1021/ac400746j,Hybrid Open Access," € 2,050.96 ",Optimized Light-Directed Synthesis of Aptamer Microarrays.,Analytical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1021/ac401145q,Hybrid Open Access," € 1,969.01 ",Optimized Nonlinear Gradients for Reversed-Phase Liquid Chromatography in Shotgun Proteomics.,Analytical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1103/PhysRevLett.109.013603,Other publication costs, € 531.22 ,Optomechanical Quantum Information Processing with Photons and Phonons.,Physical Review Letters,AMERICAN PHYSICAL SOCIETY (APS),2012,,
10.1364/OE.20.007672,Gold Open Access," € 1,351.19 ",Optomechanically induced non-reciprocity in microring resonators.,Optics Express,OPTICAL SOCIETY OF AMERICA (OSA),2012,OA,
10.1021/es301648z,Hybrid Open Access," € 2,033.25 ",Organosulfates as Tracers for Secondary Organic Aerosol (SOA) Formation from 2-Methyl-3-Buten-2-ol (MBO) in the Atmosphere.,Environmental Science and Technology,AMERICAN CHEMICAL SOCIETY (ACS),2012,OA,
10.1016/j.ejsobi.2013.08.002,Hybrid Open Access," € 2,339.74 ",Oribatida (Acari) in grassy arable fallows are more affected by soil properties than habitat age and plant species.,European Journal of Soil Biology,ELSEVIER,2013,OA,
10.1007/s00531-012-0836-6,Hybrid Open Access," € 2,400.00 ","Origin of deformed halite hopper crystals, pseudomorphic anhydrite cubes and polyhalite in Alpine evaporites (Austria, Germany).",International Journal of Earth Sciences,SPRINGER VERLAG,2013,OA,
10.1007/s00027-013-0318-3,Hybrid Open Access," € 2,618.00 ","Origin, enzymatic response and fate of dissolved organic matter during flood and non-flood conditions in a river-floodplain system of the Danube (Austria).",Aquatic Sciences,SPRINGER VERLAG,2013,OA,
10.1002/grl.50407,Other publication costs, € 575.78 ,Oscillatory flow braking in the magnetotail: THEMIS statistics.,Geophysical Research Letteres,WILEY-BLACKWELL,2013,,
10.1016/j.jinorgbio.2012.04.001,Hybrid Open Access," € 2,979.94 ",Osmium(IV) complexes with 1H- and 2H-indazoles: Tautomer identity versus spectroscopic properties and antiproliferative activity.,Journal of Inorganic Biochemistry,ELSEVIER,2012,OA,
10.1007/s00223-013-9786-7,Hybrid Open Access," € 2,618.00 ",Osteoclasts on Bone and Dentin In Vitro: Mechanism of Trail Formation and Comparison of Resorption Behavior.,Calcified Tissue International,SPRINGER VERLAG,2013,OA,
10.1016/j.jsames.2012.10.002,Hybrid Open Access," € 2,257.62 ",Ostracods (Crustacea) and their palaeoenvironmental implication for the Solimões Formation (Late Miocene; Western Amazonia/Brazil).,Journal of South American Earth Sciences,ELSEVIER,2013,OA,
10.1016/j.ympev.2013.09.005,Hybrid Open Access," € 2,513.45 ",Outgroup effects on root position and tree topology in the AFLP phylogeny of a rapidly radiating lineage of cichlid fish.,Molecular Phylogenetics and Evolution,ELSEVIER,2014,OA,
10.1002/bit.24981,Hybrid Open Access," € 2,743.94 ",Overcoming co-product inhibition in the nicotinamide independent asymmetric bioreduction of activated C-C-bonds using flavin-dependent ene-reductases.,Biotechnology and Bioengineering,WILEY-BLACKWELL,2013,OA,
