PMID/PMCID,Publisher,Journal title,Article title,COST (£)
PMC2964043,Cambridge University Press,Psychological Medicine,"Outreach and screening following the London bombings. Brewin C, Fuchkon N, Huntley Z, Robertson M....Ehlers A","£1,762.50"
PMID:21536734,Cold Spring Harbor Laboratory Press,Genes & Development,Nuclear actin polymerization is required for stranscriptional reprogramming of Oct4 by oocytes,"£1,234.64"
PMC3129250,Cold Spring Harbor Laboratory Press,Genome Research,Cell type-specific DNA methylation at intragenic CpG islands in the immune system,"£1,248.50"
PMID:21363968,Cold Spring Harbor Laboratory Press,Genome Research,High-throughput phenotyping using parallel sequencing of RNA interference targets in the African trypanosome.,"£1,259.03"
PMC3065699,Cold Spring Harbor Laboratory Press,Genome Research,Comparative methylome analysis of benign and malignant peripheral nerve sheath tumors,"£1,267.11"
PMC  3129247,Cold Spring Harbor Laboratory Press,Genome Research,Pervasive haplotypic variation in the spliceo-transcriptome of the human major histocompatibilty complex,"£1,482.34"
,Cold Spring Harbor Laboratory Press,Genome Research,Revealing the genetic structure of a trait by sequencing a population under selection,"£1,279.59"
PMC3160091,Company of Biologists,Development,Knockdown of embryonic myosin heavy chain reveals an essential role in the morphology and function of the developing heart,£675.00
21045209,Company of Biologists,Disease Models and Mechanisms,Ena drives invasive macrophage migration in Drosophila embryos,"£1,620.00"
21610099,Company of Biologists,JCS Open Access,"A novel chemically directed route for the generation of
definitive endoderm from human embryonic stem cells
based on inhibition of GSK-3","£1,620.00"
PMC3113670,Company of Biologists,Journal of Cell Science,Characterization of Mug33 reveals complementary roles for actin cable-dependent transport and exocyst regulators in fission yeast exocytosis.,"£1,620.00"
PMC3065382,Company of Biologists,Journal of Cell Science,Microtubule stabilization in vivo by nucleation-incompetent Î_-tubulin complex.,"£1,620.00"
NYP,Company of Biologists,Journal of Cell Science,"Rescue of Aspergillus nidulans severely debilitating null mutations in ESCRT-0, I, II and III genes by inactivation of a salt tolerance pathway allows examination of ESCRT gene roles in pH signalling","£1,620.00"
PMID: 21242315 ,Company of Biologists,Journal of Cell Science,Autophagic substrate clearance requires activity of the syntaxin-5 SNARE complex,"£1,586.25"
,Company of Biologists,Journal of Cell Science,Phospholipase C zeta binding to PIP2 requires the XY linker region,"£1,620.00"
3146833,EDP Sciences,Veterinary Research,Molecular characterization of the uncultivatable hemotropic bacterium Mycoplasma haemofelis,£570.00
,Elsevier,Acta Psychologica,"Language can mediate eye movement control within 100 milliseconds, regardless of whether there is anything to move the eyes to","£2,323.49"
21481540,Elsevier,Addictive Behaviours,Alcohol disorder amongst forcibly displaced persons in northern Uganda,"£2,678.76"
PMID 21907015,Elsevier,American Journal of Human Genetics,"Homozygeous Mutations in PXDN Cause Congenital Cataract, Corneal Opacity and Developmental Glaucoma","£3,939.83"
PMC3121955,Elsevier,American Journal of Obstetrics and Gynecology,Adverse Maternal and Perinatal Outcomes in Women with Previous Preeclampsia: A Prospective Study    ,"£2,343.37"
PMC 3041925,Elsevier,Analytical Biochemistry,HPLC separation and intact mass analysis of detergent-solubilised integral membrane proteins,"£2,265.63"
PMID: 21704603,Elsevier,Analytical Biochemistry,Mapping protein interactions by combining antibody affinity maturation and mass spectrometry,"£1,929.24"
PMC3034027,Elsevier,Anxiety Disorders,The contribution of attentional bias to worry: Distinguishing the roles of selective engagement and disengagement,"£2,291.74"
,Elsevier,BBA Biomembranes,Probing the interaction of lipids with the non-annular binding sites of KcsA by magic-angle spinning NMR,"£2,076.06"
20153781,Elsevier,Behavioral Brain Research,To cover the VAT charges for the article 'Selective lesions of the dorsomedial striatum impair serial spatial reversal learning in rats',£115.18
,Elsevier,Behaviour Research & Therapy,Improving access to psychological therapy: Initial evaluation of two UK demonstration sites ,"£2,004.76"
PMC3111658,Elsevier,Behaviour Research & Therapy,Improving access to psychological therapy: Initial evaluation of two UK demonstration sites ,"£2,004.76"
PMC2729368,Elsevier,Behaviour Research & Therapy,Carers’ Attributions about Positive Events in Psychosis Relate to Expressed Emotion.  Behaviour Research and Therapy. 47:783-789,"£2,439.07"
PMC2996606,Elsevier,Behaviour Research & Therapy,Engaging in imagery versus verbal processing of worry: Impact on negative  intrusions in high worriers,"£2,197.77"
21788012,Elsevier,Behaviour Research & Therapy,Improving access to pyschological treatments: lessons from developing countries,"£2,621.20"
PMC3041927,Elsevier,Behaviour Research & Therapy,Worry in imagery and verbal form: Effect on residual working memory capacity ,"£2,201.44"
PMID: 21440571,Elsevier,Behavioural Brain Research,Glucokinase inhibitor glucosamine stimulates feeding and activates hypothalemic neuropeptide Y and orexin neurons,"£2,289.28"
PMC3157560,Elsevier,Behavioural Brain Research,Horizontal biases in rats’ use of three-dimensional space,"£2,306.36"
,Elsevier,Best Practice & Research Clinical Obstetrics & Gynaecology,The genetics of pre-eclampsia & other hypertensive disorders of pregnancy,"£2,373.35"
21871446,Elsevier,Biochemical & Biophysical Research Communications,Insulin rapidly stimulates L-arginine transport in human aortic endothelial cells via Akt,"£1,062.00"
,Elsevier,Biochemical & Biophysical Research Communications,Simulation of TRPC5 cationic channels by low micromolar concentrations of lead ions (Pb2+),"£1,834.53"
PMCID: PMC2989445,Elsevier,Biochemical & Biophysical Research Communications,ChREBP regulates Pdx-1 and other glucose-sensitive genes in pancreatic <beta>-cells,"£2,290.36"
"PMID:
    21513697
    [PubMed - in process] ",Elsevier,Biochemical & Biophysical Research Communications,endothelial dependent vasodilation in vessels from TLR4-/- mice is associated with increased superoxide generation,"£2,337.73"
PMC3176900,Elsevier,Biochemical & Biophysical Research Communications,"Phosphatidylinositol 4-phosphate 5-kinase Igamma_v6, a new splice variant found in rodents and humans","£2,155.87"
PMID: 20696141,Elsevier,Biochemical Pharmacology,Identification of a _-opioid agonist as a potent and selective lead for drug development against human African trypanosomiasis,"£2,260.17"
,Elsevier,Biochimica et Biophysica Acta,"Expression, purification, electron microscopy, N-glycosylation mutagenesis and molecular modelling of human P2X4 and Dictyostelium discoideum P2XA","£2,182.83"
PMID: 21256213,Elsevier,Biochimica et Biophysica Acta,Zebrafish as a model to understand autophagy and its role in neurological disease,"£2,292.77"
PMID: 20123112,Elsevier,Biochimica ET Biophysica Acta ,Infection with AV-SUR2A protects H9C2 cells against metabolic stress: a mechanism of SUR2A-mediated cytoprotection independent from the K(ATP) channel activity,"£2,115.03"
PMID: 21664409,Elsevier,Biochimie,From snoRNA to miRNA: dual function regulatory non-coding RNAs,"£2,359.50"
21703329,Elsevier,Biochimie,In Vivo and In Vitro Function of Human UDP-Galactose 4'-Epimerase Variants,"£2,238.56"
PMC3025327,Elsevier,Biological Psychiatry,Changes in the frontotemporal cortex and cognitive correlates in first-episode psychosis,"£2,257.01"
PMC 2941017,Elsevier,Biological Psychiatry,Characterisation of a family with rare deletions in CNTNAP5 and DOCK4 suggests novel risk loci for autism and dyslexia,"£2,051.40"
PMC 3139836,Elsevier,Biological Psychiatry,"DCDC2, KIAA0319 and CMIP Are Associated with Reading-Related Traits","£2,291.53"
PMID: 20947068,Elsevier,Biological Psychiatry,Exploring the impact of the Ketamine on the experience of illusory body ownership,"£2,239.52"
3130925,Elsevier,Biological Psychiatry,"IQ, Educational Attainment, Memory and Plasma Lipids: Associations with Apolipoprotein E Genotype in 5995 Children
","£2,242.90"
PMC2930212,Elsevier,Biological Psychiatry,No correlation between childhood maltreatment and telomere length.  ,"£2,105.91"
,Elsevier,Biomaterials,Recominant Self-Assembling Peptides As Biomaterials for Tissue Engineering,"£1,937.98"
PMID: 21044846,Elsevier,Bioorganic & Medicinal Chemistry,Acetazolamide-based fungal chitinase inhibitors,"£2,271.03"
PMID: 20338769,Elsevier,Bioorganic & Medicinal Chemistry,Water-soluble polymer-drug conjugates for combination chemotherapy against visceral leishmaniasis,"£2,110.04"
PMC3160546,Elsevier,Bioorganic & Medicinal Chemistry Letters,Native N-glycopeptide thioester synthesis through N_S acyl transfer,"£2,341.52"
21315611,Elsevier,Bioorganic & Medicinal Chemistry Letters,Huprines as a new family of dual acting trypanocidal-antiplasmodial agents. ,"£2,564.20"
20226679,Elsevier,Bioorganic and Medicinal Chemistry,Inhibition of Escherichia coli Glycosyltransferase MurG and Mycobacterium tuberculosis Gal transferase by Uridine-linked Transition State Mimics,"£1,875.00"
21145749,Elsevier,Bioorganic and Medicinal Chemistry,"Synthesis of truncated analogues of the iNKT cell agonist, _-galactosyl ceramide (KRN7000), and their biological evaluation","£1,875.00"
21497678,Elsevier,BONE,Risedronate does not reduce machanical loading-related increases in cortical and trabecular bone mass in mice,"£2,367.09"
21419885,Elsevier,BONE ,"Analysis of multiple bone responses to graded strains above functional levels, and to disuse, in mice in vivo show that the human Lrp5 G171V High Bone Mass mutation increases in osteogenic response to loading but that lack of Lrp5 activity reduces it.","£2,316.07"
PMC3142932,Elsevier,Brain Research,A pronociceptive role for the 5HT2 receptor on spinal nociceptive transmission: an in vivo electrophysiological study in the rat.,"£2,250.42"
PMC3119792,Elsevier,Brain Research Reviews,A new taxonomy for perceptual filling-in ,"£2,211.05"
PMID: 21377660,Elsevier,Carbohydrate Research,Synthesis of potential metal-binding group compounds to examine the zinc dependency of the GPI de-N-acetylase metalloenzyme in Trypanosoma brucei. ,"£2,293.86"
PMID: 21183078,Elsevier,Cell,Nutrition-responsive glia control exit of neural stem cells from quiescence,"£3,595.83"
PMC  3089914,Elsevier,CELL BIOLOGY,STRUCTURAL BASIS OF THE 9 FOLD,"£3,143.47"
PMC3195672,Elsevier,Cell Calcium,GV1 phospholiphase A2 role in the stimulatory effect of sphingosine-1 phosphate on TRPC5 cationic channels,"£1,797.04"
PMC2991069,Elsevier,Cell Host & Medicine,A Biphasic Innate Immune MAPK Response Discriminates between the Yeast and Hyphal Forms of Candida albicans in Epithelial Cells,"£4,478.45"
21575914[PubMed - in process] ,Elsevier,Cell Host & Microbe,"Restoration of pattern recognition receptor co-stimulation as a treatment for Chromoblastomycosis, a chronic funal infection of the skin","£3,860.66"
PMC3094754,Elsevier,Cell Host & Microbe,Transmission stages dominate trypanosome within-host dynamics during chronic infections,"£3,891.42"
"PMCID: PMC3049316 
",Elsevier,Cell Host & Microbe,An ATM/Chk2-mediated DNA damage responsive signaling pathway suppresses Epstein-Barr virus transformation of primary human B-cells,"£3,752.30"
PMID: 21195352 ,Elsevier,Cell Metabolism,Enteric neurons and systemic signals couple nutritional and reproductive status with intestinal homeostasis,"£3,777.74"
PMID: 21907146 ,Elsevier,Cell Metabolism,Pyruvate kinase triggers a metabolic feedback loop that controls redox metabolism in respiring cells,"£3,580.73"
PMID: 17983585 ,Elsevier,Cell Metabolism,Serotonin 2C receptor agonists improve type 2 diabetes via melanocortin-4 receptor signaling pathways,"£2,826.69"
PMID 21439477,Elsevier,Chemical Biology,Novel Ligands for a Purine Riboswitch Discovered by RNA-Ligand docking,"£3,898.15"
PMC3115046,Elsevier,CHEMISTRY & BIOLOGY,Analysing airway inflammation with chemical biology: dissection of acidic mammalian chitinase function with a selective drug-like inhibitor,"£3,926.90"
PMID: 21095575,Elsevier,Chemistry & Biology,"Cell-penetrant, nanomolar O-GlcNAcase inhibitors selective against lysosomal hexosaminidases","£3,600.39"
,Elsevier,Clinical Immunology,Immune system development during early childhood in tropical Latin America: Evidence for the age-dependent down regulation of the innate immune response,"£2,428.17"
PMC 3104140,Elsevier,Cognition,Pragmatic Tolerance: Implications for the Acquisition of Informativeness and Implicature,"£2,291.53"
PMC3081069,Elsevier,Cognition,Optimistic biases in observational learning of value,"£2,361.48"
,Elsevier,Consciousness and Cognition,Relating inter-individual differences in metacognitive performance on different perceptual tasks. ,"£2,326.82"
PMID: 21295497 ,Elsevier,Consciousness and Cognition,"Sense of agency, associative learning and schisotypy","£2,369.92"
PMID: 21047627,Elsevier,Cortex,Receptive prosody in nonfluent primary progressive aphasias,"£2,276.46"
PMC3191265,Elsevier,Current Biology,A shift in sensory processing which enables the developing human brain to discriminate touch from pain,"£3,570.61"
PMID:20605456,Elsevier,Current Biology, Direct recordings of pitch responses from human auditory cortex,"£3,842.85"
PMC3094757,Elsevier,Current Biology,A catalytic role for Mod5 in the formation of the Tea1 cell polarity landmark,"£3,905.03"
PMC3153654,Elsevier,Current Biology,An in vivo assay of synaptic function mediating human cognition,"£3,623.33"
PMC2946563 ,Elsevier,Current Biology,"c-Abl, Lamellipodin, and Ena/VASP Proteins Cooperate in Dorsal Ruffling of Fibroblasts and  Axonal Morphogenesis","£3,860.05"
PMC2989437,Elsevier,Current Biology,Fission yeast Mto1 regulates diversity of cytoplasmic microtubule organizing centers,"£3,881.43"
PMC 2990865,Elsevier,Current Biology,Modulating Neuronal Activity Produces Specific and Long-Lasting Changes in Numerical Competence,"£3,914.26"
21194951,Elsevier,Current Biology,Nanog overcomes reprogramming barriers and induces pluripotency in minimal conditions,"£3,515.37"
PMID: 21256018,Elsevier,Current Biology,Observers exploit stochastic models of sensory change to help judge the passage of time,"£3,272.29"
PMC3092984,Elsevier,Current Biology,Political orientations are correlated with brain structure in young adults,"£3,880.48"
21723129,Elsevier,Current Biology,Rhythmic TMS causes local entrainment of natural oscillatory signatures,"£4,204.21"
PMC3063337,Elsevier,Current Biology,Rhythmic TMS over parietal cortex links distinct brain frequencies to global versus local visual processing.,"£3,935.81"
PMC3084447,Elsevier,Current Biology,Structural and functional fractionation of right superior parietal cortex in bistable perception,"£3,673.23"
,Elsevier,Current Biology,Visual motion induces a forward prediction of spatial pattern,"£3,805.35"
PMC 2913241,Elsevier,Current Biology,Within-host competition drives selection for the capsuleirulence determinate of Streptococcus pneumoniae,"£3,901.75"
PMID: 20346672 ,Elsevier,Current Biology,Multiple grasp-specific representations of tool dynamics,"£3,105.78"
PMC3060342,Elsevier,Current Opinion in Cell Biology,Building mitotic chromosomes,"£2,279.40"
PMCID: PMC2860226,Elsevier,Current Opinion in Cell Biology,Cytoprotective Roles for Autophagy,"£2,179.80"
PMC 3025322,Elsevier,Current Opinion in Immunology,T regulatory cells and the control of alloimmunity.  From characterization to clinical application,"£2,272.56"
20884281,Elsevier,Current Opinion in Microbiology ,Molecular mechanisms underlying the control of antigenic variation in African trypanosomes,"£2,579.61"
PMC3096781,Elsevier,Current Opinion in Neurobiology,The metamorphosis of the developing cerebellar microcircuit,"£2,335.43"
PMID: 21315267,Elsevier,Current Opinion in Structural Biology,Balancing at survival's edge: the structure andc adaptive benefits of prokaryotic toxin-antitoxin partners,"£2,117.03"
PMID: 21074407,Elsevier,Current Opinion in Structural Biology,Pseudokinases-remnants of evolution or key allosteric regulators?,"£2,224.42"
PMID:20959152 only,Elsevier,Developmental and Comparative Immunology,Identification and characterisation of the BPI/LBP/PLUNC–like gene repertoire in chickens reveals the absence of a LBP gene,"£2,265.12"
PMID 21396932,Elsevier,Developmental Biology,A dictyostelium SH2 adaptor protein required for correct DIF-1 signaling and pattern formation,"£2,311.57"
PMID: 21458438,Elsevier,Developmental Biology,DIF-1 regulates Dictyostelium basal disc differentiation by inducing the nuclear accululation of a bZIP transcription factor,"£2,313.15"
PMC2946559,Elsevier,Developmental Biology,Pax2 coordinates epithelial morphogenesis and cell fate in the inner ear,"£2,187.27"
20707994,Elsevier,Developmental Biology,The retinal pigment epithellium of the eye regulates the development of scleral cartilage,"£2,316.61"
,Elsevier,Developmental Biology,"Wake-up-call, a lin-52 paralogue, and Always early, a lin-9 homologue physically interact, but have opposing functions in gulatng testis-specific gene expression","£2,379.72"
PMCID: PMC3094756,Elsevier,Developmental Cell,Dynamics of Core Planar Polarity Protein Turnover and Stable Assembly into Discrete Membrane Subdomains,"£3,685.37"
21982645,Elsevier,Developmental Cell,A syndecan-4 hair trigger initiates wound healing through caveolin- and RhoG-regulated integrin endocytosis,"£3,519.08"
PMC3145975,Elsevier,Developmental Cell,"Genome-wide analysis of simultaneous GATA1/2, RUNX1, FLI1, and SCL binding in megakaryocytes Identifies Hematopoietic Regulators","£3,876.58"
PMID: 20708591,Elsevier,Developmental Cell,Hemocyte-secreted type IV collagen enhances BMP signalling to guide renal tubule morphogenesis in Drosophila,"£3,885.22"
PMC3123469,Elsevier,Drug and Alcohol Dependence,The psychological impact of heavy drinking among the elderly on their co-residents: The 10/66 group population based survey in the Dominican Republic,"£1,867.53"
2989434,Elsevier,Early Human Development,Maternal and paternal height and BMI and patterns of fetal growth: the Pune Maternal Nutrition Study,"£2,140.43"
PMID: 20980057 ,Elsevier,Endeavour,"Testing sex and gender in sports; reinventing, reimagining and reconstructing histories","£2,263.48"
3101334,Elsevier,"Enyme and microbial
TECHNOLOGY",Retention of enzyme activity with a boron doped diamond electrode in the electro-oxidative nitration of lysozyme,"£3,000.00"
PMC2890141,Elsevier,Epidemics,Spread of E. coli O157 infection among Scottish cattle farms: Stochastic models and model selection,"£2,313.70"
PMID:21885257,Elsevier,Epilepsy Research,Diffusion tensor imaging tractography of the optic radiation for epilepsy,"£2,141.96"
PMID:21592730,Elsevier,Epilepsy Research,Hippocampal activation correlates with visual confrontation naming: fMRI findings in controls and patients with temporal lobe epilepsy,"£2,315.56"
36296,Elsevier,Epilepsy Research,Transition to absence seizures and the role of GABAA receptors,"£2,189.49"
PMC3037472,Elsevier,European Journal of Cell Biology,Role of WASP in cell polarity and podosome dynamics of myeloid cells,"£2,020.08"
PMC3036795,Elsevier,European Journal of Pharmacology,"Contribution of the intracellular C terminal domain to regulation of human P2X1 receptors for ATP by phorbol ester and Gq coupled mGlu(1_) receptors.
","£2,282.35"
PMC3103823,Elsevier,European Psychiatry,"Misattribution biases of threat-related facial expressions are related to a longer duration of illness and a cognitive deficit syndrome in schizophrenia. 2008 23(1) 1st author P Premkumar
14-19 18201874",£654.69
21195539,Elsevier,European Urology,Transplantaion of Autologous Differentiated Urothelium in an Experimental Model of Composite Cystoplasty,"£2,398.39"
PMCID: PMC3003155,Elsevier,Experimental cell research,Modulation of mitochondrial function and morphology by interaction of Omi/HtrA2 with the mitochondrial fusion factor OPA1.,"£2,204.95"
PMC306339,Elsevier,Experimental Cell Research,"Strucuture, function and regulation of JLP signalling complexes ion neugenes","£2,358.93"
PMID: 21095248 ,Elsevier,Experimental Neurology,Autophagy and misfolded proteins in neurodegeneration,"£2,115.29"
PMID: 21256128 ,Elsevier,Experimental Parasitology,Trypanosoma brucei brucei: Endocytic recycling is important for mouse infectivity,"£2,271.08"
PMC3171648,Elsevier,FEBS Letters,Insights into the structure of the CCR4-NOT complex by electron microscopy,"£2,181.99"
PMC2855960,Elsevier,FEBS Letters,The trypanosome Pumilio-domain protein PUF7 associates with a nuclear cyclophilin and is involved in ribosomal RNA maturation,"£2,160.01"
PMC3202636,Elsevier,Free Radical Biologie and Medicine,Increased lifespan from over-expression of superoxide dismutase in C. elegans is not caused by decreased oxidative damage,"£2,139.23"
21802439,Elsevier,Frontiers in Neuroendocrinology,G protein-coupled receptors in the hypothlamic paraventricular and supraoptic nuclei - serpentine gateways to neuroendocrine homeostasis,"£2,181.82"
PMC3149101,Elsevier,Frontiers of Neuroendocrinology,"11_-Hydroxysteroid dehydrogenases and the brain: From zero to hero, a decade of progress.","£2,297.68"
,Elsevier,Gastroenterology,"A polymorphism in IL28B Distinguishes Exposed, Uninfected Individuals from Spontaneous Resolvers of HCV Infection","£1,827.60"
PMID: 20888931,Elsevier,Gene Expression Patterns,"Characterisation of the Drosophila procollagen lysyl hydroxylase, dPlod","£2,327.92"
PMC3078334,Elsevier,Hearing Research,Physiological differences between histological defined subdivisions,"£2,361.48"
PMID:21920363 ,Elsevier,Hormones and Behavior,Effects of suppressing gonadal hormones on response to novel objects in adolescent rats,"£2,149.92"
PMID 21295499,Elsevier,Immunity,Protein Kinase B controls transcriptional programs that direct cytotoxic T cell fate but is dispensible for T cell metabolism,"£3,244.29"
21232539,Elsevier,International Journal for Parasitology,Extraordinary Trypanosoma cruzi diversity within single mammalian reservoir hosts implies a mechanism of diversifying selection,"£2,710.23"
20974145,Elsevier,International Journal for Parasitology,Human immune responses that reduce the transmission of Plasmodium falciparum in African populations.,"£2,510.83"
21315074,Elsevier,International Journal for Parasitology,Plasmodium ovale curtisi and Plasmodium ovale wallikeri circulate simultaneously in African communities,"£2,718.70"
21310160,Elsevier,International Journal for Parasitology,Construction of a genetic map for Theileria parva: Identification of hotspots of recombination,"£2,576.95"
PMC3034870,Elsevier,International journal for Parasitology,Whole genome re-sequencing identifies a mutation in an ABC transporter (mdr2) in a Plasmodium chabaudi clone with altered susceptibility to antifolate drugs.,"£2,343.43"
PMC3037471,Elsevier,International Journal of Nursing Studies,A ‘good hospital’: Nurse and patient perceptions of good clinical care for HIV positive people on antiretroviral treatment in rural Zimbabwe,"£2,290.36"
PMC2965012,Elsevier,International Journal of Psychophysiology,Heart rate responses to standardized trauma-related pictures in acute posttraumatic stress disorder,"£2,885.09"
3163265,Elsevier,Journal American Academy of Child and Adolescent Psychiatry,Links between co-occurring social-communication and hyperactive-inattentive trait trajectories,"£2,116.43"
PMID: 20109745,Elsevier,Journal of Allergy Clin Immunol,Chromosome 11q13.5 variant associated with childhood eczema: an effect supplementary to filaggrin mutations.,"£2,237.33"
PMID: 21377035,Elsevier,Journal of Allergy Clin Immunol,Loss-of-function variants in the filaggrin gene are a significant risk factor for peanut allergy.,"£2,269.46"
PMC2956503,Elsevier,Journal of Anxiety Disorders,An investigation of whether patients with post-traumatic stress disorder overestimate the probability and cost of future negative events,"£2,362.28"
PMC3049866,Elsevier,Journal of Anxiety Disorders,Learning to change a way of being: an interpretative phenomenological perspective on cognitive therapy for social phobia.,"£2,316.90"
PMC2943072,Elsevier,Journal of Behavior Therapy and Experimental Psychiatry,Perception of arousal in social anxiety: effects of false feedback during a social interaction,"£2,362.28"
,Elsevier,Journal of Behaviour Therapy and Experimental Psychiatry,Reducing Unwanted trauma memories by imaginal exposure or autobiographical memory elaboration: An analogue study of memory processes.,"£2,316.90"
PMC3145959,Elsevier,Journal of Behaviour Therapy and Experimental Psychiatry,"Targeting reasoning biases in delusions: A pilot study of the Maudsley Review Training Programme for individuals with persistent, high conviction delusions","£2,346.04"
PMC3042595,Elsevier,Journal of Behaviour Therapy and Experimental Psychiatry,The Perseverative Thinking Questionnaire (PTQ):  Validation of a Content-Independant Measure of Repetitive Negative Thinking,"£2,322.93"
PMC3111808,Elsevier,Journal of Behaviour Therapy and Experimental Psychiatry,When the present visits the past,"£2,316.90"
PMC3161392,Elsevier,Journal of Chemical Neuroanatomy,Kv3.1b and Kv3.3 channel subunit expression in marine spinal dorsal horn GABAergic Interneurones,"£2,415.73"
,Elsevier,Journal of Cystic Fibrosis,Delayed publications of clinical trials in cystic fibrosis,"£2,132.86"
PMC2941847,Elsevier,Journal of Experimental Child Psychology,"Hunting with a knife and… fork': Examining Central Coherence in autism, ADHD and typical development with a linguistic task","£2,020.08"
21703178,Elsevier,Journal of heptology,Presence and Severity of Non-alcoholic Fatty Liver Disease in a Large Prospective Primary Care Cohort’,"£1,875.00"
,Elsevier,Journal of Immunological Methods,Protein kinase inhibitors substantially improve the physical detection of T-cells with peptide-MHC tetramers,"£2,288.46"
20650290,Elsevier,Journal of Microbiological Methods,Rapid construction of mycobacterial mutagenesis vectors using ligation-independent cloning,"£2,206.96"
PMCID: PMC3034871,Elsevier,Journal of Molecular and Cellular Cardiology,Modulation of Human Embryonic stem cell-derived cardiomyocyte growth: A testbed for studying human cardiac hypertrophy?,"£1,113.76"
PMC2958307,Elsevier,Journal of Molecular and Cellular Cardiology,Myocardial stress remodelling after regional infarction is independent of glycogen synthase kinase-3 inactivation  ,£727.22
PMC 2930249,Elsevier,Journal of Molecular Biology,"An alternative conformation 
of the T-cell receptor alpha 
constant region","£2,113.91"
PMC 3025346,Elsevier,Journal of Molecular Biology,Crystal Structures of Penicillin-Binding Protein 3 from Pseudomonas aeruginosa: Comparison of Native and Antibiotic-Bound Forms,"£2,193.08"
PMC 2954335,Elsevier,Journal of Molecular Biology,Domain metastability - a molecular basis for immunoglobulin deposition,"£2,081.66"
,Elsevier,Journal of Molecular Biology,Interactions of the melanocortin-4 receptor with the peptide agonist NDP-MSH,"£2,251.40"
PMC3025356,Elsevier,Journal of Molecular Biology,"Mechanism of the Ca_+-dependent interaction between S100A4 and tail fragments of nonmuscle myosin heavy chain IIA.
","£2,225.60"
PMCID: PMC2891488,Elsevier,Journal of Molecular Biology,Protein folding requires crowd control in a simulated cell,"£2,138.22"
PMCID: PMC3065333,Elsevier,Journal of Molecular Biology,Structural Basis for Langerin recognition of diverse pathogen and mammalian glycans through a single binding site,"£2,150.83"
,Elsevier,Journal of Molecular Biology,Structural insights into substarte specificity in variants of N-acetylneuraminic acid lyase,"£2,079.48"
PMC3163267,Elsevier,Journal of Molecular Biology,"Structure and Organisation of SinR, the Master Regulator of Biofilm Formation in Bacillus subtilis","£2,250.90"
PMCID: PMC2896474,Elsevier,Journal of Molecular Biology,Thioredoxin A active-site mutants form mixed disulfide dimers that resemble enzyme-substrate reaction intermediates.,"£2,371.80"
PMC3092982,Elsevier,Journal of Molecular Biology,Zinc binding to the Tyr402 and His402 allotypes of complement factor H: possible implications for age-related macular degeneration,"£2,328.28"
21531158,Elsevier,Journal of Molecular Graphics and Modelling,Binding Modes of Diketo-Acid Inhibitors of HIV-1,"£2,855.34"
,Elsevier,Journal of Proteomics,High Throughput Proteomic Analysis of the Secretome in an Explant Model of Articular Cartilage Inflammation,"£2,302.60"
PMC2977847,Elsevier,Journal of Psychiatric Research.,Persecutory ideation and insomnia: findings from the second British National Survey of Psychiatric Morbidity.,"£2,105.91"
21843751,Elsevier,Journal of Psychosomatic Research,Behaviour problems and prevalence of asthma symptoms among Brazilian children' ,"£2,636.78"
PMC 2995212,Elsevier,Journal of Reproductive Immunology,Peripheral blood invariant natural killer T cells throughout pregnancy and in preeclamptic women.,"£2,228.46"
PMC 3087503,Elsevier,Journal of Structural Biology,AN ADAPTIVE NON  LOCAL MEANS FILTER FOR DENOISING LIVE CELL IMAGES AND IMPROVING PARTICLE DETECTION,"£2,050.90"
PMC2896485,Elsevier,Journal of Structural Biology,Bacillus licheniformis Anti-TRAP can assemble into two types of dodecameric particles with the same symmetry but inverted orientation of trimers.,"£2,058.67"
,Elsevier,Journal of Structural Biology,Exploiting powder X-ray diffraction for direct structure determination in structural biology: The P2X4 receptor trafficking motif YEQGL,"£2,296.48"
PMC 2938586,Elsevier,Journal of Structural Biology,High-throughput production of human proteins for crystallization: the SGC experience,"£2,079.68"
"PMCID: PMC3073228
",Elsevier,Journal of Structural Biology,"Structural basis of binding of fluorescent, site-specific dansylated amino acids to human serum albumin
","£2,262.71"
PMC3043253,Elsevier,Journal of Structural Biology,The beginning of a beautiful friendship: cross-linking/mass spectrometry and modelling of proteins and multi-protein complexes,"£2,218.66"
,Elsevier,Journal of the American Academy of Child and Adolescent Psychiatry,Investigating environmental  links between maternal depression symptoms and child anxiety/depression symptoms using a genetic design; the effects of shared adversity………..,"£2,432.06"
20444621,Elsevier,Journal of the American Society for Mass Spectrometrey,Electron induced dissociation: a mass spectrometry technique for the structural analysis of trinuclear oxo-centred carboxylate-bridged iron complexes,"£1,875.00"
,Elsevier,Journal of Voice,Activity patterns in Latissimus Dorsi and Sternocleidomastoid in classical singers,"£2,416.22"
PMC3075549,Elsevier,Lancet,Cytomegalovirus glycoprotein-B vaccine with MF59 adjuvant in transplant recipients: a phase 2 randomised placebo-controlled trial.,"£3,840.00"
21176950,Elsevier,Lancet,Effect of single-dose anthelmintic treatment during pregnancy …,"£6,160.00"
20113978,Elsevier,Lancet Infectious Diseases,Yield of HIV-associated tuberculosis during intensified case finding in resource-limited settings.,"£4,800.00"
,Elsevier,Lancet Infectious Diseases,Priorities for tuberculosis research: a systematic review,"£2,800.00"
PMID:20609629,Elsevier,Lancet Neurology,"Stroke incidence in rural and urban Tanzania: a prospective, community-based study","£3,290.00"
