PMID/PMCID,Publisher,Journal title,Article title,COST (£)
PMC3202623,Elsevier,Cancer Cell,Renal Cyst Formation in Fh1-Deficient Mice Is Independent of the Hif/Phd Pathway: Roles for Fumarate in KEAP1 Succination and Nrf2 Signaling,"£3,540.16"
PMC3314965,Elsevier,Cell,Local translation of extranuclear lamin B promotes axon maintenance,"£3,593.94"
PMC3171170,Elsevier,Cell,Autophagosome precursor maturation requires homotypic fusion,"£3,570.93"
PMC3465555,Elsevier,Cell,ESRRB is a pivotal target of the GSK3/TCF3 axis regulating embryonic stem cell self-renewal,"£3,598.80"
PMC3438448,Elsevier,Cell,"Lis1 Acts as a ""Clutch"" between the ATPase and Microtubule-Binding Domains of the Dynein Motor","£3,716.84"
PMC3437554,Elsevier,Cell,Nanog is the gateway to the pluripotent ground state,"£3,840.25"
PMC3482660,Elsevier,Cell,Quantitative Analysis of Fission Yeast Transcriptomes and Proteomes in Proliferating and Quiescent Cells,"£3,858.19"
PMC3267021,Elsevier,Cell,The molecular basis for the endocytosis of small R-SNAREs by the clathrin adaptor CALM,"£3,463.96"
PMC3398752,Elsevier,Cell,The Transcriptional and Epigenomic Foundations of Ground State Pluripotency,"£3,854.15"
PMC3275754,Elsevier,Cell Calcium,Pregnenolone sulphate-independent inhibition of TRPM3 channels by progesterone,"£2,078.90"
PMC3267038,Elsevier,Cell Metabolism,The gut hormones PYY 3-36 and GLP-1 7-36 amide reduce food intake and modulate brain activity in appetite centers in humans,"£3,463.65"
PMID: 22840391,Elsevier,Cell Press,MicroRNA-9 Modulates Hes1 ultradian oscillations by forming a double-negative feedback loop,"£3,195.30"
PMC3281992,Elsevier,CELL PRESS,RYBP-PRC1 COMPLEXES MEDIATE H2A UBIQUITYLATION AT POLYCOMB TARGET SITES,"£3,569.40"
PMC3477316,Elsevier,Cell Press,Syk Kinase-Coupled C-type Lectin Receptors Engage Protein Kinase C-_ to Elicit Card9 Adaptor-Mediated Innate Immunity,"£3,821.85"
PMC3607219,Elsevier,Cell Press - Cell Reports,Lysine Deacetylases Hda1 and Rpd3 Regulate Hsp90 Function Thereby Governing Fungal Drug Resistance,"£3,184.88"
PMC3333808,Elsevier,Cell Reports,Structure of the SecY Complex  Unlocked by a Preprotein Mimic,"£3,962.36"
PMC3343665,Elsevier,Cell Stem Cell,Epiblast stem cell based system reveals reprogramming synergy of germline factors,"£3,266.17"
PMC3402183,Elsevier,Cell Stem Cell,NuRD suppresses pluripotency gene expression to promote transcriptional heterogeneity and lineage commitment,"£3,857.68"
PMC3459098,Elsevier,Cell Stem Cell,Stat3 activation is limiting for reprogramming to ground state pluripotency,"£3,514.80"
PMC3391686,Elsevier,Cell Stem Cell,The germ cell determinant Blimpl is not required for derivation of pluripotent stem cells,"£3,178.45"
PMC3271386,Elsevier,Cellular Signalling,A novel role for P2X7 receptor signalling in the survival of mouse embryonic stem cells.,"£2,209.33"
PMC3189512,Elsevier,Cellular Signalling,cAMP inhibits mammalian target of rapamycin complex-1 and -2 (mTORC1 and 2) by promoting complex dissociation and inhibiting mTOR kinase activity,"£2,150.95"
PMC3476533,Elsevier,Cellular Signalling,Chromatin as an oxygen sensor and active player in the hypoxia response,"£2,134.44"
"PMC3314959
",Elsevier,Cellular Signalling,Dual specificity phosphatases 10 and 16 are positive regulators of EGF-stimulated ERK activity,"£2,204.42"
PMC3510439,Elsevier,Cellular Signalling,Protein kinase A-mediated phosphorylation of RhoA on serine 188 triggers the rapid induction of a neuroendocrine-like phenotype in prostate cancer epithelial cells,"£2,263.00"
PMC3476531,Elsevier,Chemistry & Biology,Synergy of Peptide and Sugar in O-GlcNAcase Substrate Recognition,"£3,972.23"
PMC3477630,Elsevier,Clinical Radiology,Chest radiographic patterns in 75 adolescents with vertically acquired HIV infection.,"£2,296.44"
PMC3396838,Elsevier,Cognition,Source Memory Errors Associated with Reports of Posttraumatic Flashbacks: A proof of concept study,"£2,190.58"
PMC3267018,Elsevier,Cognitive and Behavioural Practice,Imagery Rescripting of Early Traumatic Memories in Social Phobia,"£2,317.43"
PMC3639369,Elsevier,Cortex,Dopamine reverses reward insensitivity in apathy following globus pallidus lesions,"£2,281.08"
PMID: 23107380,Elsevier,Cortex,Mentalising music in frontotemporal dementia,"£2,314.91"
PMC3398414,Elsevier,Current Biology,Live imaging of tumour initiation in  zebrafish larvae reveals a trophic role for leukocyte-derived PGE2,"£3,662.77"
PMC3362735,Elsevier,Current Biology,Planar polarity specification through the asymmetric subcellular localisation of the atypical cadherins Fat and Dachsous,"£4,597.41"
PMC3242051  ,Elsevier,Current Biology, Enhanced Cortical Excitability in Grapheme-Color Synesthesia and Its Modulation,"£3,479.15"
PMC3268356,Elsevier,Current Biology,Acquiring 'the Knowledge' of London's layout drives structural brain changes,"£3,491.91"
PMC3315012,Elsevier,Current Biology,Attenuated boundary extension produces a paradoxical memory advantage in amnesic patients ,"£3,582.44"
PMC3459089,Elsevier,Current Biology,Cerebellar rTMS disrupts predictive language processing,"£2,751.59"
PMC3314945,Elsevier,Current Biology,Cholinergic enhancement of visual attention and neural oscillations in the human brain,"£3,610.56"
PMID: 22921356,Elsevier,Current Biology,Determination of endothelial stalk versus tip cell potential during sprouting angiogenesis by H2.0-like homeobox-1,"£3,728.83"
PMC3267035,Elsevier,Current Biology,Functional Evidence for a Dual Route to Amygdala,"£3,619.71"
PMC3424419,Elsevier,Current Biology,How Dopamine Enhances an Optimism Bias in Humans,"£3,649.66"
PMC3315010,Elsevier,Current Biology,Kinase activity of fission yeast Mph1 is required for Mad2 and Mad3 to stably bind the anaphase promoting complex,"£4,359.85"
PMC3368263,Elsevier,Current Biology,Sounds Reset Rhythms of Visual Cortex and Corresponding Human Visual Perception.,"£3,858.00"
PMC3414847,Elsevier,Current Biology,Stonin 2 is a major adaptor protein for clathrin-mediated synaptic vesicle retrieval,"£4,492.00"
PMC3315000,Elsevier,Current Biology,Structure of orbitofrontal cortex predicts social influence,"£4,061.74"
PMC3396841,Elsevier,Current Biology,The Neural Correlates of Crowding-Induced Changes in Appearance,"£3,691.84"
PMC3414846,Elsevier,Current Biology,Ultraviolet Light Provides a Major Input to Non-Image-Forming Light Detection in Mice,"£3,655.92"
PMC3191266,Elsevier,Current Biology,Multiple TGF-&#946; superfamily signals modulate the adult Drosophila immune response,"£3,579.15"
PMC3162137,Elsevier,Current Biology ,Regenerant Arabidopsis lineages display a distinct genome-wide spectrum of mutations conferring variant phenotypes,"£3,707.21"
PMC3315006,Elsevier,Current Biology ,Speech facilitation by left inferior frontal cortex stimulation,"£3,394.25"
PMID:22990072,Elsevier,Current Opinion in Cell Biology,Cell polarisation and the immunological synapse,"£2,255.21"
PMC2884177,Elsevier,Current Opinion in Cell Biology,Genome architecture and the role of transcription,"£2,187.96"
PMC3432231,Elsevier,Current Opinion in Cell Biology,Making sense of transcribing chromatin,"£2,340.56"
PMC3437973,Elsevier,Current Opinion in Immunology,Susceptibility and immunity to helminth parasites,"£2,360.20"
PMID: 23022568 ,Elsevier,Current Opinion in Microbiology,Bacterial gene loss as a mechanism for gain of antimicrobial resistance,"£2,260.22"
PMC3437559,Elsevier,Current Opinion in Neurobiology,Interactions between areas of the cortical grasping network,"£2,383.00"
PMC3398388,Elsevier,Current Opinion in Neurobiology,The Surveillance State of Behavioral Automation,"£2,264.42"
PMID:22841476,Elsevier,Current Opinion in Structural Biology,Syndecan and integrin interactomes: Large complexes in small spaces,"£2,161.88"
PMID: 22019906,Elsevier,Cytokine & Growth Factor Reviews,Understanding the mechanism of IL-1_ secretion,"£2,300.61"
PMC3368273,Elsevier,Developmental Biology,Early B-cell factors 2 and 3 (EBF2/3) regulate early migration of Cajal-Retzius cells from the cortical hem.,"£2,298.10"
PMC3368271,Elsevier,Developmental Biology,Human hypoblast formation is not dependent on FGF signalling,"£2,034.53"
PMC3314956,Elsevier,Developmental Biology,Lamellipodia-based migrations of larval epithelial cells are required for normal closure of the adult epidermis of Drosophila,"£1,802.24"
PMC3384004,Elsevier,Developmental Biology,Polyclonal origin and hair induction ability of dermal papillae in neonatal and adult mouse back skin,"£2,262.20"
PMC3334623,Elsevier,Developmental Biology,Sin3a is essential for the genome integrity and viability of pluripotent cells,"£2,141.51"
PMC3368431,Elsevier,Developmental Biology,Sprouty genes are essential for the normal development of epibranchial ganglia in the mouse embryo,"£2,223.18"
PMC3383995,Elsevier,Developmental Cell,RAB14 & ITS EXCHANGE FACTOR FAM116 LINK ENDOCYTIC RECYCLING,"£3,844.66"
PMC3272547,Elsevier,Developmental Cell,Complement fragment C3a controls mutual cell attraction during collective cell migration,"£3,407.10"
PMC3277888,Elsevier,Developmental Cell,Kinetochore-dependent microtubule rescue ensures their efficient and sustained interactions in early mitosis.,"£3,630.64"
PMC3480639,Elsevier,Developmental Cell,Repo-Man coordinates chromosomal reorganization with nuclear  envelope reassembly during mitotic exit.,"£3,524.09"
PMC3332010,Elsevier,Developmental Cell,"Spindle position in symmetric cell divisions during epiboly, is controlled by opposing and dynamic apico-basal forces","£3,593.64"
PMC3549491,Elsevier,Developmental Cell,Structural basis of the intracellular sorting of the SNARE VAMP7 by the AP3 adaptor complex,"£1,919.56"
PMC3459094,Elsevier,Epilepsy and Behavior,Clinical Language fMRI with real-time monitoring in Temporal Lobe Epilepsy: online processing methods,"£1,776.39"
PMC3398387,Elsevier,Epilepsy Research,Frontal lobe function in temporal lobe epilepsy,"£1,934.24"
PMC3629562,Elsevier,European Journal of Cell Biology,"New isoform-specific monoclonal antibodies reveal different sub-cellular localisations for talin1 and talin2.
","£2,332.44"
PMC3315007,Elsevier,European Journal of Cell Biology,Perturbations of the actin cytoskeleton activate a Dictyostelium STAT signalling pathway ,"£2,175.38"
PMC3471069,Elsevier,European Journal of Medical Genetics,Identification of a novel nonsense mutation and a missense substitution in the AGPAT2 gene causing congenital generalized lipodystrophy type 1,"£2,268.15"
PMC3366185,Elsevier,Experimental Brain Research,A torque-based method demonstrates increased rigidity in Parkinson’s disease during low-frequency stimulation,"£1,950.64"
PMC3387379,Elsevier,Experimental Haematology,Deletion of the Scl +19 enhancer increases the blood stem cell compartment without affecting the formation of mature blood lineages,"£2,315.96"
PMC3350857,Elsevier,Experimental Neurobiology,Pharmacological manipulation of peroxisome proliferator-activated receptor _ reveals a role for anti-oxidant protection in a model of Parkinson's disease,"£2,327.30"
PMC3277890,Elsevier,Experimental Neurology,"Axonal damage in the making: neurofilament phosphorylation, proton mobility and magnetisation transfer in multiple sclerosis normal appearing white matter","£2,069.87"
PMC3400051,Elsevier,Experimental Neurology,Beta band stability over time correlates with Parkinsonian rigidity and bradykinsia,"£2,187.59"
PMC3508413,Elsevier,Experimental Neurology,The myth of the unaffected side after unilateral stroke: Is reorganisation of the non-infarcted cortisponal systems to re-establish balance the price for recovery?,"£2,217.57"
PMC3336205,Elsevier,Experimental Parasitology,"The generation and evaluation of two panels of epitope-matched mouse IgG1, IgG2a, IgG2b and IgG3 antibodies specific for Plasmodium falciparum and Plasmodium yoelii merozoite surface protein 1–19 (MSP119) Original Research Articl","£2,308.07"
PMC3420020,Elsevier,FEBS,THE INTERPLAY BETWEEN THE DISILFIDE BOND FORMATION PATHWAY & CYTOCHROME C MATURATION IN E COLI,"£2,190.57"
PMC3405516,Elsevier,FEBs Letters,FolX from Pseudomonas aeruginosa is octameric in both crystal and solution,"£2,288.00"
PMC3527664,Elsevier,FEBS Letters,Kinetic properties and small-molecule inhibition of human myosin-6,"£2,223.31"
PMC3149668,Elsevier,FEBS Letters,Sost down-regulation by mechanical strain in human osteoblastic cells involves PGE2 signalling via EP4,"£2,190.91"
PMC3334266,Elsevier,Fertility and Sterility,PLC-induced Ca2+ oscillations cause coincident cytoplasmic movements in human oocytes that failed to fertilize after ICSI,"£2,207.53"
PMC3540263,Elsevier,Fertility and Sterility,PLC-zeta rescues failed oocyte activation in a prototype of male factor infertility,"£2,327.76"
PMC3430961,Elsevier,Fungal Genetics & Biology,Candida albicans infection inhibits macrophage cell division and proliferation,"£2,122.55"
PMC3430864,Elsevier,Fungal Genetics & Biology,Non-lytic expulsion/exocytosis of Candida albicans from macrophages,"£2,325.43"
PMC3329626,Elsevier,Gait and posture,Validation of an Ear-Worn Sensor for gait monitoring using a Force-Plate Instrumented Treadmill,"£2,209.33"
PMC3466424,Elsevier,Gastroenterology,Mucin Gene Deficiency in Mice Impairs Host Resistance to an Enteric Parasitic Infection,"£2,296.94"
PMC3271191,Elsevier,Gene,"A Regulatory cascade of three transcription factors in a single specific neuron, DVC, in Caenorhabditid elegans.","£2,080.69"
PMC3512054,Elsevier,Health and Place,Building adherence-competent communities: factors promoting children's adherence to anti-retroviral HIV/AIDS treatment in rural Zimbabwe,"£2,310.95"
PMC3315001,Elsevier,Hearing Research,Acoustic over-exposure triggers burst firing in dorsal cochlear nucleus fusiform cells.,"£2,180.78"
PMC2996607,Elsevier,Immunity,Constitutively active Lck kinase in T cells drives antigen receptor signal transduction,"£3,234.30"
PMC3078329,Elsevier,Immunity,Interleukin-23 Drives Intestinal Inflammation through Direct Activity on T Cells,"£3,764.61"
PMC3584282,Elsevier,Immunity,"Lysosomal Trafficking, Antigen Presentation
and Microbial Killing Are Controlled
by the Arf-like GTPase Arl8b","£3,960.40"
PMC3477319,Elsevier,Immunology Letters,"Alum increases antigen uptake, reduces antigen degradation and sustains antigen presentation by DCs in vitro","£2,158.00"
PMC2896481,Elsevier,Infant Behavior and Development,Interpretation of infant facial expression in the context of maternal postnatal depression,"£2,116.89"
PMC2875886,Elsevier,Infant Behavior and Development,Parental depression and child termperament: assessing child to parent effects in a longitudianl population study,"£2,147.89"
PMC3407873,Elsevier,International Health,Treatment of schistosomiasis in African infants and preschool-aged chidlren: downward extension and biometric optimization of the current praziquantel dose pole,"£1,934.29"
PMID: 22475816,Elsevier,International J of Parasitology,Analysis of malaria parasite phenotypes using experimental genetic crosses of Plasmodium falciparum,"£2,351.00"
PMC3401372,Elsevier,International J of Parasitology,Ookinete destruction within the mosquito midgut lumen explains Anopheles albimanus refractoriness to Plasmodium falciparum oocyst infection,"£3,000.00"
PMC3492758,Elsevier,International Jnl of Surgery,"Interventional studies for preventing Surgical Site Infections in sub-Saharan Africa – a systematic review
","£2,322.93"
,Elsevier,International Journal of Mass Spectrometry,A tale of a tail: structural insights into the conformational properties of the polyglutamine protein ataxin-3,"£2,274.67"
,Elsevier,International Journal of Mass Spectrometry,Amphitrite: a program for processing travelling wave ion mobility mass spectrometry data,"£2,314.91"
PMC3314993,Elsevier,International Journal of Psychophysiology,"Prediction, perception and agency","£2,042.92"
PMC3314986,Elsevier,Journal of Affective Disorder,"Impact of perinatal somatic and common mental disorder symptoms on functioning in Ethiopian women: the P-MaMiE population-based cohort study
","£2,087.37"
PMC3221043,Elsevier,Journal of Affective Disorders,A comparison of the clinical characteristics of Chinese patients with recurrent major depressive disorder with and without dysthymia JAD_5142,"£2,327.64"
PMC3210897,Elsevier,Journal of Affective Disorders,Age at onset of major depressive disorder in Han Chinese women: relationship with clinical features and family history - JAD 5147,"£2,218.46"
PMC3315022,Elsevier,Journal of Affective Disorders,Clinical features and risk factors for post-partum depression in a large cohort of Chinese women with recurrent major depressive disorder,"£2,327.64"
PMC3387371,Elsevier,Journal of Affective Disorders,Epilogue: Lessons from the CONVERGE study of major depressive disorder in China (JAD 5225).,"£2,245.73"
PMC3210899,Elsevier,Journal of Affective Disorders,Examining the Relationship Between Lifetime Stressful Life Events and the Onset of Major Depression in Chinese Women - JAD5145,"£2,161.43"
PMC3161179,Elsevier,Journal of Affective Disorders,Healthcare costs of paternal depression in the postnatal period,"£2,116.89"
PMC3315015,Elsevier,Journal of Affective Disorders,Pre-adult onset and patterns of suicidality in patients wih a history or recurrent depression,"£2,174.85"
PMC3314924,Elsevier,Journal of Affective Disorders,The Impact of Educational Status on the Clinical Features of Major Depressive Disorder Among Chinese Women. JAD5137,"£2,161.43"
PMC3220767,Elsevier,Journal of Affective Disorders,"The relationship between neuroticism, major depressive disorder and comorbid disorders in Chinese women - JAD_5144","£2,327.64"
PMC2874837,Elsevier,Journal of Behavior Therapy and Experimental Psychiatry,The effects of rumination on mood and intrusive memories after exposure to traumatic material: An experimental study,"£2,004.42"
PMC3042595,Elsevier,Journal of Behaviour Therapy and Experimental Psychiatry,The Perseverative Thinking Questionnaire (PTQ):  Validation of a Content-Independant Measure of Repetitive Negative Thinking,"£2,322.93"
PMC3328767,Elsevier,Journal of Clinical Virology,Differential decay kinetics of human cytomegalovirus glycoprotein B genotypes following antiviral chemotherapy,"£2,340.68"
PMC3355300,Elsevier,Journal of Clinical Virology,Importance of the cytomegalovirus seropositive recipient as a contributor to disease burden after solid organ transplantation,"£2,298.10"
PMC3314955,Elsevier,Journal of Controlled Release,Transferrin conjugation confers mucosal molecular targeting to a model HIV-1 trimeric gp140 vaccine antigen,"£1,160.33"
,Elsevier,Journal of Cystic Fibrosis,Results of antibiotic susceptibility testing do not influence clinical outcome in children with cystic fibrosis,"£2,324.37"
PMID: 20638671 ,Elsevier,Journal of Electrocardiology,In vivo studies of Scn5a+/- mice modelling Brugada Syndrome demonstrate both conduction and repolarization abnormalities,"£1,926.37"
PMC3404460,Elsevier,Journal of Immunological Methods,TCR/pMHC Optimized Protein crystallization Screen,"£2,201.90"
PMC3430964,Elsevier,Journal of infection,The nature and consequences of coinfection in humans,"£2,331.62"
PMC3382729,Elsevier,Journal of Molecular Biology,A nexus for gene expression – molecular mechanisms of Spt5 and NusG in the three domains of life,"£2,340.68"
PMC3314952,Elsevier,Journal of Molecular Biology,Conformational Properties of the Unfolded State of Im7 in Nondenaturing Conditions,"£2,142.23"
PMC3384007,Elsevier,Journal of Molecular Biology,Crystal struture of the VapBC Toxin-Antitoxin complex from shigella flexneri reveals a hetro-octameric DNA binding assembly,"£1,945.33"
PMC3314998,Elsevier,Journal of Molecular Biology,Malleability of the Folding Mechanism of the Outer Membrane Protein PagP : Parallel Pathways and the Effect of Membrane Elasticity,"£2,142.23"
PMC3314939,Elsevier,Journal of Molecular Biology,Micrococcal nuclease does not substantially bias nucleosome mapping,"£2,351.19"
PMC3469821,Elsevier,Journal of Molecular Biology,Protein folding: adding a nucleus to guide docking reduces landscape roughness,"£2,680.96"
PMC3517971,Elsevier,Journal of Molecular Biology,Structure of the Phosphatase Domain of the Cell Fate Determinant SpoIIE from Bacillus subtilis.,"£2,127.79"
PMC3437443,Elsevier,Journal of Molecular Biology,The PHD and chromo domains regulate the ATPase activity of the human chromatin remodeler CHD4,"£2,159.80"
 PMC3277889,Elsevier,Journal of Molecular Biology,Two immunoglobulin tandem proteins with a linking beta-strand reveal unexpected differences in cooperativity and folding pathways,"£2,321.23"
PMC3500694,Elsevier,Journal of Neuropsychologia,What pharmacological Interventions indicate concerning the role of the perirhinal cortex in recognition memory,"£2,244.71"
PMC3314978,Elsevier,Journal of Neuroscience Methods,: dopOSCCI: a functional Transcranial Doppler Ultrasonography summary suite for the assessment of cerebral lateralization of cognitive function,"£2,032.60"
PMC3142613,Elsevier,Journal of Neuroscience Methods,An automated calibration method for non-see-through head mounted displays     http://dx.doi.org/10.1016/j.jneumeth.2011.05.011,"£2,353.60"
PMID: 21315762 ,Elsevier,Journal of Neuroscience Methods,Detection of early locomotor abnormalities in a Drosophila model of Alzheimer's disease by a three-dimensional tracking system,"£2,231.45"
PMC3314961,Elsevier,Journal of Neuroscience Methods,Estimation of the time course of neurotransmitter release at central synapses from the first latency of postsynaptic currents,"£1,791.22"
 PMC3235548,Elsevier,Journal of Neuroscience Methods,Lentiviral vectors express Chondroitinase ABC in cortical projections and promote sprouting of injured corticospinal axons,"£2,541.23"
PMC3465552,Elsevier,Journal of Neuroscience Methods,Multi-modal pain measurements in infants,"£2,219.43"
PMC3401996,Elsevier,Journal of Neuroscience Methods,Post-hoc selection of dynamic causal models,"£2,236.56"
PMC3625110,Elsevier,Journal of Paediatrics Urology,"Clinical and gonadal features and early surgical management of 45,X/46,XY and 45,X/47,XYY chromosomal mosaicism presenting with genital anomalies","£2,408.51"
PMC3137789,Elsevier,Journal of Structural Biology,Cells Under Siege: Viral Glycoprotein Interactions at the Cell Surface,"£2,312.39"
PMC3343273,Elsevier,Journal of Structural Biology,Correlative VIS-fluorescence and soft X-ray cryo-microscopy/tomography of adherent cells,"£2,159.80"
PMC3401368,Elsevier,Journal of the American Academy of Child a& Adolescent Psychiatry,Here/In This Issue; There/Abstract Thinking: Treatment Response in Psychiatry,"£2,243.09"
"PMC3314954
",Elsevier,Journal of the American Academy of Child and Adolescent Phychiatry,Prevalence of Tourettes syndrome and chronic tics in the population-based ALSPAC cohort,"£2,217.30"
PMC3255076,Elsevier,Journal of Urology,KCNQ currents and their contribution to resting membrane potential and the excitability of interstitial cells of Cajal from the guinea pig bladder,"£2,341.01"
PMC3255074,Elsevier,Journal of Urology,Morphological and Physiological Characterisation of interstitial Cells from the urinary bladder,"£2,341.01"
PMID: 21255801,Elsevier,Journal of Urology,Ultrastructural Properties of Interstitial Cells of Cajal in the Guinea Pig Bladder,"£2,341.01"
PMC3191275,Elsevier,Journal of Virological Methods,A Universal Real-time Assay for the Detection of Lyssaviruses,"£2,137.09"
PMC3348565,Elsevier,Lancet,Effect on the incidence of pneumonia of vitamin D supplementation by quarterly bolus dose to infants in Kabul.,"£5,040.00"
PMC3402672,Elsevier,Lancet,Invasive non-typhoidal salmonella disease: an emerging and neglected tropical disease in Africa,"£5,280.00"
PMC3257853,Elsevier,Lancet Neurology,Chromosome 9p21 in sporadic amyotrophic lateral sclerosis in the UK and seven other countries: a genome wide association study,"£4,230.00"
PMC3462996,Elsevier,Leukemia research,Dasatinib inhibits leukaemic cell survival by decreasing PRH/Hhex phosphorylation resulting in increased repression of VEGF signalling genes,"£2,311.63"
" PMC3223528
",Elsevier,Manual Therapy,"Electromyographic activity of pelvic and lower limb muscles during postural tasks in people with benign joint hypermobility syndrome and non hypermobile people. A pilot study.
","£2,091.25"
PMC3507621,Elsevier,Matrix Biology,Implication of the oligomeric state of the N-terminal PTX3 domain in cumulus matrix assembly,"£2,296.94"
PMC3213306,Elsevier,Maturitas,Genetics and epigenetics of obesity,"£2,296.33"
PMC3449239,Elsevier,Mechanisms of Ageing and Development,Manipulation of in vivo iron levels can alter resistance to oxidative stress without affecting ageing in the nematode C. elegans,"£2,223.69"
PMC3398734,Elsevier,Medical Image Analysis,A fast analysis method for non-invasive imaging of blood flow in individual cerebral arteries using vessel-encoded arterial spin labeling angiography,£876.82
PMC3202631,Elsevier,Methods,Computational approaches to selecting and optimising targets for structural proteomics,"£2,119.27"
PMC3502869,Elsevier,Methods,Generation of anti-Notch antibodies and their application in blocking Notch signalling in neural stem cells,"£1,847.28"
PMC3437562,Elsevier,Methods,Preparation and use of Xenopus egg extracts to study DNA replication and chromatin associated proteins,"£2,323.15"
PMC3484397,Elsevier,Microbes and Infection,The role of cGMP signalling in regulating life cycle progression of plasmodium,"£2,624.58"
PMC3510436,Elsevier,Mitochondrion,A proposed concensus panel of organisms for determining evolutionary conservation of mt-tRNA point mutations,"£2,216.01"
PMC3485552,Elsevier,Mitochondrion,Unique mitochondrial DNA in highly inbred feral cattle,"£2,176.53"
,Elsevier,Molecular & Biochemical Parasitology,Conformational co-dependence between plasmodium berghai LCCL proteins promotes complex  formation and stability,"£2,631.74"
"PMC3334830
",Elsevier,Molecular & Biochemical Parasitology,Trypanosomal histone _H2A and the DNA damage response,"£2,745.16"
PMC3507629,Elsevier,Molecular & Cellular Neuroscience,Adhesion to the extracellular matrix is required for interleukin-1 beta actions leading to reactive phenotype in rat astrocytes,"£2,296.94"
PMC3334831,Elsevier,Molecular & Cellular Neuroscience,"Leak K+ channel mRNAs in dorsal root ganglia: Relation to inflammation and spontaneous pain behaviour
","£2,307.69"
PMC3437443,Elsevier,Molecular and Biochemical Parasitology,Developmental regulation of gene expression in the absence of transcriptional control: the case of kinetoplastids,"£2,755.10"
PMC3368264,Elsevier,Molecular and Biochemical Parasitology,"The crystal structure of Leishmania major N(5),N(10)-methylenetetrahydrofolate dehydrogenase/cyclohydrolase and assessment of a potential drug target.","£2,003.34"
PMC3315023,Elsevier,Molecular and Cellular Endocrinology,"Nuclear hormone receptor co-repressors: Structure and function
","£2,313.36"
PMC3314903,Elsevier,Molecular and Cellular Endocrinology ,Analysis of LIN28A in early human ovary development and as a candidate gene for primary ovarian insufficiency,"£2,149.46"
 PMC3240745,Elsevier,MOLECULAR AND CELLULAR NEUROSCIENCE,In vitro and intrathecal siRNA mediated KV1.1 knock-down in primary sensory neurons,"£2,098.29"
PMID: 22771539,Elsevier,Molecular Aspects of Medicine,"The Good, the Bad and the Ugly: Epigenetic mechanisms in glioblastoma","£2,137.09"
PMC3419265,Elsevier,Molecular Cell,Bim inhibits autophagy by recruiting Beclin 1 to microtubules,"£3,644.64"
PMC3149661,Elsevier,Molecular Cell,Complex inhibitory effects of nitric oxide on autophagy,"£3,794.32"
PMC3145960,Elsevier,Molecular Cell,Human senataxin resolves RNA / DNA hybrids formed at transcriptional pause sites to promote Xrn20dependent termination,"£3,848.11"
PMC3262128,Elsevier,Molecular Cell,Ser7 phosphorylation of the CTD recruits the RPAP2 Ser5 phosphatase to snRNA genes,"£3,447.03"
PMC3093613,Elsevier,Molecular Cell,The histone chaperones Nap1 and Vps75 bind histones H3 and H4 in a tetrameric conformation,"£3,682.21"
PMC3469820,Elsevier,Molecular Cell,The seed region of a small RNA drives the controlled destruction of the target mRNA by the endoribonuclease RNase E,"£3,713.94"
PMC3314950,Elsevier,Molecular Cell,Yeast Sen1 helicase protects the genome from transcription - associated instability,"£3,616.06"
"PMC3240746
",Elsevier,Molecular Cell Biology,"Cohesin's Concatenation of Sister DNAs Maintains Their Intertwining
","£3,495.82"
PMC3280380,Elsevier,"Nanomedicine: Nanotechnology, Biology and Medicine",Sizing and phenotyping of cellular vesicles using Nanoparticle Tracking Analysis,"£2,352.02"
PMC3314972,Elsevier,Neural Networks,A Dynamical Pattern Recognition Model of Gamma Activity in Auditory Cortex,"£2,165.06"
PMC3314983,Elsevier,Neurobiology of Aging,Age-related changes in the topological architecture of the brain during hand grip,"£2,103.59"
PMID:22227007,Elsevier,Neurobiology of Aging,RAGE deficiency protects against  MPTP toxicity,"£2,327.76"
PMC3457776,Elsevier,Neurobiology of Disease,Selective pattern of motor system damage in gamma-synclein transgenic mice mirrors the respective pathology in amyotrophic lateral sclerosis,"£2,204.77"
PMC3334829,Elsevier,Neuroimage,A general Bayesian treatment for MEG source reconstruction incorporating lead field uncertainty,"£2,175.48"
PMC3398395,Elsevier,Neuroimage,"A review and synthesis of the first 20 years of PET and fMRI studies of heard speech, spoken language and reading","£2,215.10"
PMC3315004,Elsevier,NeuroImage,Age-related changes in causal interactions between cortical motor regions during hand grip,"£2,039.74"
PMC3464599,Elsevier,NeuroImage,BOLD responses in reward regions to hypothetical and imaginary monetary rewards,"£2,026.34"
PMC3315017,Elsevier,Neuroimage,Confirmation of Functional Zones within the Human Subthalamic Nucleus: Patterns of connectivity and sub-parcellation using diffusion weighted imaging,"£2,166.20"
PMC3518783,Elsevier,Neuroimage,Convolution models for induced electromagnetic responses,"£2,318.06"
PMC3420067,Elsevier,NeuroImage,Diagnostic neuroimaging across diseases,"£2,408.51"
PMC3314951,Elsevier,NeuroImage,Diffusion tractography of post-mortem human brains: Optimization and comparison of spin echo and steady-state free precession techniques,"£2,043.80"
PMC3314973,Elsevier,NeuroImage,"Dissociable effects of methylphenidate, atomoxetine and placebo on regional cerebral blood flow in healthy volunteers at rest: a multi-class pattern recognition approach","£2,160.29"
PMC3438451,Elsevier,NeuroImage,Dynamic causal modelling of precision and synaptic gain in visual perception – an EEG study,"£2,131.67"
