PMID,PMCID,DOI,Publisher,Owned by/Affiliated to/Journal of,ISSN,Journal Impact Factor,Journal Title,Hybrid or Pure OA?,Article title,Citations Google Scholar,Altmetric score,CC licence type,Copyright Owner,Is the article freely available?,Cost,Contributor,Notes,ROMEO,PMC,DOIURL,XML Metadata,OpenArticleGauge
,PMC3464430,10.1016/j.cell.2012.06.018,Elsevier (Cell Press),Elsevier,0092-8674,31.96,Cell,Hybrid,piRNAs can trigger a multigenerational epigeneitc memory in the gernline of C. elegans,,,,,,£533.58,,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3420011,10.1016/j.cell.2012.06.045,Elsevier (Cell Press),Elsevier,0092-8674,31.96,Cell,Hybrid,"Small-molecule inhibition of BRDT for male contraception, Cell, Elsevier",,,,,,"£3,208.69",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3661979,10.1016/j.cell.2013.03.012,Elsevier (Cell Press),Elsevier,0092-8674,31.96,Cell,Hybrid,Exit from Pluripotency is Gated by Intracellular Redistribution of the bHLH transcription factor Tfe3,,,,,,"£4,041.05",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3650559,10.1016/j.cell.2013.03.043,Elsevier (Cell Press),Elsevier,0092-8674,31.96,Cell,Hybrid,Mapping the human miRNA interactome by CLASH reveals frequent non-canonical binding,,,,,,"£4,163.88",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3732391,10.1016/j.cell.2013.06.040,Elsevier (Cell Press),Elsevier,0092-8674,31.96,Cell,Hybrid,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat,,,,,,"£1,366.08",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3925802,10.1016/j.conb.2012.11.010,Elsevier,Elsevier,0959-4388,7.34,Current Opinion in Neurobiology,Hybrid,Analysing connectivity with Granger causality and dynamic causal modelling,,,Publisher copyright,Publisher copyright,,"£2,378.95",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3866681,10.1016/j.conb.2012.11.012,Elsevier,Elsevier,0959-4388,7.34,Current Opinion in Neurobiology,Hybrid,Updating dopamine reward signals,,,Publisher copyright,Publisher copyright,,"£2,429.17",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
23041313,PMC3607220,10.1016/j.celrep.2012.08.029,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,Developmental plasticity inbound by pluripotency and the FUF2Wnt signalling pathways,,,,,,"£3,100.01",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3607223,10.1016/j.celrep.2012.12.001,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,Structure of a pestivirus envelope glycoprotein e2 clarifies its role in cell entry,,,,,,"£3,906.55",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3607255,10.1016/j.celrep.2013.01.006,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,Asymmetric localizatoin of Cdx2mRNA during the first cell fate decision in early mouse development,,,,,,"£3,836.32",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3778892,10.1016/j.celrep.2013.01.013,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,c-Myc Induced Sebaceous Gland Differentiation is Controlled by an Androgen Receptor/p53 Axis,,,,,,"£3,995.74",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3607254,10.1016/j.celrep.2013.01.017,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,Tcf15 primes pluripotent cells for deifferentiation,,,,,,"£3,242.21",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3617368,10.1016/j.celrep.2013.02.013,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,Inhibition of mitochondrial aconitase by succination in fumarate hydratase deficiency.,,,,,,"£3,967.99",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3644702,10.1016/j.celrep.2013.03.012,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,Definition of RNA Polymerase ii CoTC Terminator Elements in the Human Genome,,,,,,"£3,884.40",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3675675,10.1016/j.celrep.2013.04.006,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.,,,,,,"£3,882.41",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3808153,10.1016/j.celrep.2013.08.049,Elsevier (Cell Press),Elsevier,2211-1247,none,Cell Reports,Pure OA,The 5S RNP couples ribosome biogenesis to the home,,,,,,"£3,712.80",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3650558,10.1016/j.chembiol.2012.12.008,Elsevier (Cell Press),Elsevier,1074-5521,6.16,Chemistry & Biology,Hybrid,A Yeast Chemical Genetic Screen Identifies Inhibitors of Human Telomerase,,,,,,"£2,184.22",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3510437,10.1016/j.chom.2012.09.011,Elsevier (Cell Press),Elsevier,1931-3128,12.61,Cell Host and Microbe,Hybrid,The Salmonella kinase SteC targets MEK to regulate the host actin cytoskeleton,,,,,,"£3,838.88",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3601332,10.1016/j.chom.2013.02.003,Elsevier (Cell Press),Elsevier,1931-3128,12.61,Cell Host & Microbe,Hybrid,Human cytomegalovirus UL141 targets the TRAIL death receptors to inhibit host innate defenses,,,,,,"£4,226.04",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3677094,10.1016/j.ydbio.2013.01.030,Elsevier,Society for Developmental Biology,0012-1606,3.87,Developmental Biology,Hybrid,"The mechanisms of planar cell polarity, growth and the Hippo pathway: Some known unknowns",,,Publisher copyright,Publisher copyright,,"£1,981.38",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3685808,10.1016/j.cmet.2013.02.019,Elsevier (Cell Press),Elsevier,1550-4131,14.62,Cell Metabolism,Hybrid,Improved insulin sensitivity despite increased visceral adiposity in mice deficient for the immune cell transcription factor T-bet,,,,,,"£4,084.51",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3690479,10.1016/j.cmet.2013.04.010,Elsevier (Cell Press),Elsevier,1550-4131,14.62,Cell Metabolism,Hybrid,Dynamic Adipocyte Phosphoproteome Reveals Akt Directly Regulates mTORC2,,,,,,"£3,904.46",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3791399,10.1016/j.cmet.2013.08.019,Elsevier (Cell Press),Elsevier,1550-4131,14.62,Cell Metabolism,Hybrid,AMP Is a True Physiological Regulator of AMP-Activated Protein Kinase by Both Allosteric Activation and Enhancing Net Phosphorylation,,,,,,"£3,783.81",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3682176,10.1016/j.dcn.2013.03.001,Elsevier,Elsevier,1878-9293,3.16,Developmental Cognitive Neuroscience,Pure OA,Predicting IQ change from brain structure: A cross-validation study,,,Publisher copyright,Publisher copyright,,"£2,457.25",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
23872197,PMC3853584,10.1016/j.dcn.2013.06.001,Elsevier,Elsevier,1878-9293,3.16,Developmental Cognitive Neuroscience,Pure OA,The influence of reading ability on subsequent changes in verbal IQ in the teenage years,,,CC-BY-NC-ND,Author copyright,,"£1,764.06",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3525856,10.1016/j.diagmicrobio.2012.09.013,Elsevier,Elsevier,0732-8893,2.26,Diagnostic Microbiology and Infectious Disease,Hybrid,Comparison of a Frozen Human Foreskin Fibroblast Cell Assay to an Enzyme Immunoassay and Toxigenic Culture for the Detection of Toxigenic Clostridium difficile,,,Publisher copyright,Publisher copyright,,"£2,252.53",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3629561,10.1016/j.drugalcdep.2011.05.016,Elsevier,Sponsored by the College on Problems of Drug Dependence',0922-3444,3.14,Drug and Alcohol Dependence,Hybrid,Clinician and service user perceptions of implementing contingency management: A focus group study,,,Publisher copyright,Publisher copyright,,"£2,470.86",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3507620,10.1016/j.earlhumdev.2012.09.005,Elsevier,Elsevier,0378-3782,2.43,Early Human Development,Hybrid,Managing Severe infection in infancy in resource poor settings,,,Publisher copyright,Publisher copyright,,£838.35,Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3878597,10.1016/j.endeavour.2013.03.001,Elsevier,Elsevier,0160-9327,0.17,Endeavour,Hybrid,Understanding life together: a brief history of collaboration in biology,,,Publisher copyright,Publisher copyright,,"£2,419.71",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3878594,10.1016/j.endeavour.2013.06.005,Elsevier,Elsevier,0160-9327,0.17,Endeavour,Hybrid,"Family influence and psychiatric care: physical treatments in Devon mental hospitals, c. 1920 to the 1970s",,,Author copyright,Author copyright,,£615.72,Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3682189,10.1016/j.eplepsyres.2013.01.004,Elsevier,Elsevier,0920-1211,2.24,Epilepsy Research,Hybrid,Assessing hippocampal functional reserve in temporal lobe epilepsy: A multi-voxel pattern analysis of fMRI data,,,Publisher copyright,Publisher copyright,,"£2,483.12",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3526775,10.1016/j.ejcb.2010.06.007,Elsevier,Elsevier,0171-9335,3.21,European Journal of Cell Biology,Hybrid,"Vinculin, an adapter protein in control of cell adhesion signalling",,,Publisher copyright,Publisher copyright,,"£2,228.00",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3526772,10.1016/j.ejmg.2011.12.011,Elsevier,Elsevier,1769-7212,1.69,European Journal of Medical Genetics,Hybrid,Array Comparative Genomic Hybridization: Results from an adult population with drug-resistant epilepsy and co-morbidities,,,Publisher copyright,Publisher copyright,,"£2,281.08",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3744815,10.1016/j.ejmg.2013.05.001,Elsevier,Elsevier,1769-7212,1.69,European Journal of Medical Genetics,Hybrid,The internet is parents' main source of information about psychiatric manifestationsof 22q11.2 deletion syndrome,,,CC-BY,Author copyright,Yes,"£2,468.50",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3791403,10.1016/j.euroneuro.2012.12.001,Elsevier,European College of Neuropsychopharmacology,0924-977X,4.60,European Neuropsychopharmacology,Hybrid,Systematic Review and Meta Analysis of Serotonin Transporter Genotype and Discontinuation from Antidepressant Treatment,,,Publisher copyright,Publisher copyright,,"£2,325.59",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3632754,10.1016/j.yexcr.2013.02.005,Elsevier,Elsevier,0014-4827,3.56,Experimental Cell Research,Hybrid,Perturbation of invadolysin disrupts cell migration in zebrafish (Danio rerio),,,Publisher copyright,Publisher copyright,,"£2,488.17",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3562441,10.1016/j.exer.2012.11.015,Elsevier,International Society for Eye Research,0014-4835,3.03,Experimental Eye Research,Hybrid,"Ccl2, Cx3r1 and Ccl2/Cx3cr1 chemokine deficiencies are not sufficient to cause age-related retinal degeneration",,,Publisher copyright,Publisher copyright,,"£2,395.43",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3356578,10.1016/j.cub.2011.12.051,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Disrupted Circadian Rhythms in a Mouse Model of Schizophrenia,,,,,,£348.33,,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3396843,10.1016/j.cub.2012.04.062,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Neural circuitry underlying Drosophila female post-mating behavioural responses,,,,,,"£3,635.15",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3485558,10.1016/j.cub.2012.07.012,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Distinct and overlapping roles for AP-1 and GGAs revealed by the 'knocksideways' system,,,,,,"£3,830.32",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3510434,10.1016/j.cub.2012.08.045,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Brain structure links loneliness to social perception,,,,,,"£3,879.05",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3502862,10.1016/j.cub.2012.09.020,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,BLOC-3 MUTATED IN HERMANSKY-PUDLAK SYNDROM IS A RAB32/38 GUANINE NUCLEOTIDE EXCHANGE FACTOR,,,,,,"£3,798.93",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3502867,10.1016/j.cub.2012.09.042,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Substrate-borne vibratory communication during courtship in Drosophila melanogaster,,,,,,"£3,213.28",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3525857,10.1016/j.cub.2012.10.035,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,NAADP activates two-pore channels on T cell cytolytic granules to stimulate exocytosis and killing,,,,,,"£3,857.16",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3566480,10.1016/j.cub.2012.12.006,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,M1 corticospinal mirror neurons and their role in movement suppression during action observation,,,,,,"£3,992.37",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3580286,10.1016/j.cub.2013.01.009,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Vinculin regulates the recruitment and release of core focal adhesion proteins in a force-dependent manner,,,,,,"£3,883.86",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3629559,10.1016/j.cub.2013.01.058,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Calcium flashes orchestrate the wound inflammatory response through DUOX activation and hydrogen peroxide release.,,,,,,"£4,151.77",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3778751,10.1016/j.cub.2013.02.008,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,A fovea for pain at the fingertips,,,,,,"£4,112.54",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3661981,10.1016/j.cub.2013.04.012,Elsevier (Cell Press),Elsevier,0960-9822,9.49,Current Biology,Hybrid,Locomotion Controls Spatial Integration in Mouse Visual Cortex,,,,,,"£4,077.52",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3630327,10.1016/j.exphem.2012.11.008,Elsevier,Society for Hematology and Stem Cells,0301-472X,2.91,Experimental Hematology,Hybrid,Gene Set Control Analysis (GSCA) predicts haematopoietic control mechanisms from genome-wide transcription factor binding data,,,Publisher copyright,Publisher copyright,,"£2,328.24",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3556781,10.1016/j.expneurol.2012.09.007,Elsevier,Elsevier,0014-4886,4.65,Experimental Neurology,Hybrid,ErbB1 epidermal growth factor receptor is a valid target for reducing the effects of multiple inhibitors of axonal regeneration,,,Publisher copyright,Publisher copyright,,"£2,380.28",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3178012,10.1016/j.devcel.2010.11.019,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,Brat promotes stem cell differentiation via control of a bistable switch that restricts BMP signaling,,,,,,"£3,877.48",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3507630,10.1016/j.devcel.2011.11.008,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,Rab25 and CLIC3 Collaborate to Promote Integrin Recycling from Late Endosomes/Lysosomes and Drive Cancer Progression,,,,,,"£3,575.88",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3414849,10.1016/j.devcel.2012.05.010,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,Forkhead transcription factor Fd3F cooperates with Rfx to regulate a gene expression program for mechanosensory cilia specialisation,,,,,,"£2,987.00",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3437444,10.1016/j.devcel.2012.06.011,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,SMCHD1-DEPENDENT & INDEPENDENT PATHWAYS DETERMINE DEVELOPMENT DYNAMICS OF CPG ISLAND METHYLATION ON THE INACTIVE X CHROMOSOME,,,,,,"£3,630.64",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3521961,10.1016/j.devcel.2012.10.017,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,Molecular basis for recognition of dilysine trafficking motifs by COPI,,,,,,"£3,845.38",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3605578,10.1016/j.devcel.2013.01.027,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,Syndecan-4 phosphorylation is a control point for integrin recycling,,,,,,"£4,099.71",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3659288,10.1016/j.devcel.2013.02.008,Elsevier (Cell Press),Elsevier,1534-5807,14.00,Developmental Cell,Hybrid,Hec1-dependent cyclin B2 stabilisation regulates the G2-M transition and early prometaphase in mouse oocytes,,,,,,"£4,076.38",,,ROMEO,PMC,DOI,Metadata,OAG
23639442,PMC3774154,10.1016/j.devcel.2013.03.019,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,The Neuropilin 1 Cytoplasmic Domain Is Required for VEGF-A-Dependent Arteriogenesis,,,,,,"£3,877.46",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3730058,10.1016/j.devcel.2013.06.015,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,"Daughter cell identity emerges from the interplay of Cdc42, septins, and exocytosis",,,,,,"£4,002.42",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3782659,10.1016/j.devcel.2013.08.010,Elsevier (Cell Press),Elsevier,1534-5807,12.86,Developmental Cell,Hybrid,Autoregulatory feedback controls sequential action of cis-regulatory modules at the brinker locus,,,,,,"£3,975.75",,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3782662,10.1016/j.expneurol.2013.06.025,Elsevier,Elsevier,0014-4886,4.65,Experimental Neurology,Hybrid,The late response of rat subependymal zone stem and progenitor cells to stroke is restricted to directly affected areas of their niche,,,CC-BY,Author copyright,Yes,"£1,771.93",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3650576,10.1016/j.exppara.2012.11.005,Elsevier,Elsevier,0014-4894,2.15,Experimental Parasitology,Hybrid,"Development of a multiplex PCR assay for simultaneous detection of Theileria annulata, Babesia bovis and Anaplasma marginale in cattle",,,Publisher copyright,Publisher copyright,,"£2,329.56",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3659828,10.1016/j.exppara.2013.03.017,Elsevier,Elsevier,0014-4894,2.15,Experimental Parasitology,Hybrid,Cell density-dependent ectopic expression in bloodstream form Trypanosoma brucei,,,Publisher copyright,Publisher copyright,,"£2,441.16",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3640159,10.1016/j.febslet.2009.11.087,Elsevier,Federation of European Biochemical Societies,0014-5793,3.58,FEBS Letters,Hybrid,Sialic acids acquired by Pseudomonas aeruginosa are involved in reduced complement deposition and siglec mediated host-cell recognition.,,,Publisher copyright,Publisher copyright,No,"£2,244.57",SM,"full text available via Science Direct, though not on the journal's website: 'Purchase this article for 31.50 USD'.",ROMEO,PMC,DOI,Metadata,OAG
,PMC3878766,10.1016/j.febslet.2009.12.050,Elsevier,Federation of European Biochemical Societies,0014-5793,3.58,FEBS Letters,Hybrid,Structural and functional evidence for a substrate exclusion mechanism in mammalian tolloid like-1 (TLL-1) proteinase,,,Publisher copyright,Publisher copyright,,"£2,362.82",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3884127,10.1016/j.febslet.2011.10.008,Elsevier,Federation of European Biochemical Societies,0014-5793,3.58,FEBS Letters,Hybrid,Ca2+-calmodulin inhibits tail-anchored protein insertion into the mammalian endoplasmic reticulum membrane,,,Publisher copyright,Publisher copyright,,"£2,228.00",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3476528,10.1016/j.febslet.2012.06.017,Elsevier,Federation of European Biochemical Societies,0014-5793,3.58,FEBS Letters,Hybrid,"Concerted action of the PHD, chromo and motor domains regulates the human chromatin remodelling ATPase CHD4.",,,Publisher copyright,Publisher copyright,,"£2,143.17",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3655261,10.1016/j.febslet.2013.03.025,Elsevier,Federation of European Biochemical Societies,0014-5793,3.58,FEBS Letters,Hybrid,IFN_ autocrine feedback is required to sustain TLR induced production of MCP-1 in macrophages,,,Publisher copyright,Publisher copyright,,"£2,465.93",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3642154,10.1016/j.fob.2012.07.003,Elsevier,Federation of European Biochemical Societies,2211-5463,none,FEBS Open Bio,Pure OA,CD248 expression on mesenchymal stromal cells is required for post-natal and infection-dependent thymus remodelling and regeneration,,,Publisher copyright,Publisher copyright,,"£1,254.25",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3668512,10.1016/j.fob.2012.12.003,Elsevier,Federation of European Biochemical Societies,2211-5463,none,FEBS Open Bio,Pure OA,Crystal structure of human angiogenin with an engineered loop exhibits conformational flexibility at the functional regions of the molecule.,,,CC-BY-NC-ND,Author copyright,,"£1,171.02",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3679489,10.1016/j.fertnstert.2011.05.090,Elsevier,American Society for Reproductive Medicine,0015-0282,4.17,Fertility and Sterility,Hybrid,Impact of endometriosis on quality of life and work productivity: a multicenter study across ten countries.,,,Publisher copyright,Publisher copyright,,"£2,373.76",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3679490,10.1016/j.fertnstert.2012.04.022,Elsevier,American Society for Reproductive Medicine,0015-0282,4.17,Fertility and Sterility,Hybrid,Developing symptom-based predictive models of endometriosis as a clinical screening tool: results from a multicenter study.,,,Publisher copyright,Publisher copyright,,"£2,373.76",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3502866,10.1016/j.fertnstert.2012.05.035,Elsevier,American Society for Reproductive Medicine,0015-0282,4.17,Fertility and Sterility,Hybrid,Is early age at menarche a risk factor for endometriosis? A systematic review and meta-analysis of case-control studies.,,,Publisher copyright,Publisher copyright,,"£2,169.98",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3684770,10.1016/j.freeradbiomed.2013.04.018,Elsevier,"Society for Free Radical Biology and Medicine, Society for Free Radical Research-Europe, International Society for Free Radical Research (SFRRI)",0891-5849,5.27,Free Radical and Biology Medicine,Hybrid,S[+]apomorphine is a CNS penetrating activator of the Nrf2-ARE pathway with activity in mouse and patient fibroblast models of amyotrophic lateral sclerosis,,,CC-BY-NC-ND,Author copyright,,"£1,755.59",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3605576,10.1016/j.funbio.2012.07.004,Elsevier,The British Mycological Society,1878-6146,2.08,Fungal Biology,Hybrid,Expression and secretion of Aspergillus fumigatus proteases is regulated in response to different protein substrates,,,Publisher copyright,Publisher copyright,,"£2,272.01",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3809933,10.1016/j.funeco.2013.04.003,Elsevier,The British Mycological Society,1754-5048,2.85,Fungal Ecology,Hybrid,Species-specific PCR to describe local-scale distributions of four cryptic species in the Penicillium chrysogenum complex,,,CC-BY,Author copyright,,"£2,378.19",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3507624,10.1053/j.gastro.2011.06.057,Elsevier,AGA Institute,0016-5085,12.82,Gastroenterology,Hybrid,Intestinal Dendritic Cells Specialize to Activate Transforming Growth Factor-_ and Induce Foxp3+ Regulatory T Cells via Integrin _v_8,,,,,,"£2,228.00",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3572711,10.1053/j.gastro.2012.09.016,Elsevier,AGA Institute,0016-5085,12.82,Gastroenterology,Hybrid,Much of the genetic risk of colorectal cancer is likely to be mediated through susceptibility to adenomas,3,,Publisher copyright,Publisher copyright,No,£238.08,Stuart Lewis,"Only open in PMC, not publisher.",ROMEO,PMC,DOI,Metadata,OAG
,PMC3611593,10.1016/j.gene.2013.01.036,Elsevier,Elsevier,0378-1119,2.20,Gene,Hybrid,"Dissecting the mechanisms responsible for the multiple insecticide resistance phenotype in Anopheles gambiae s.s., M form, from Vallée de Kou, Burkina Faso",,,,,,"£2,445.23",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3725413,10.1016/j.gene.2013.02.008,Elsevier,Elsevier,0378-1119,2.20,Gene,Hybrid,Identification of a SLC19A2 nonsense mutation in Persian families with thiamineresponsive megaloblastic anemia,,,,,,"£2,468.74",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3725417,10.1016/j.gene.2013.03.098,Elsevier,Elsevier,0378-1119,2.20,Gene,Hybrid,"Gene therapy for PIDs: Progress, pitfalls and prospects",,,,,,"£2,446.97",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3688188,10.1016/j.gene.2013.04.050,Elsevier,Elsevier,0378-1119,2.20,Gene,Hybrid,Identification of multiple binding sites for the THAP domain of the Galileo transposase in the long terminal inverted-repeats,,,CC-BY,Author,Yes,"£2,406.10",Stuart Lawson/Theo,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3427858,10.1016/j.healthplace.2012.04.003,Elsevier,Elsevier,1353-8292,2.42,Health & Place,Hybrid,Are slum dwellers at heightened risk of HIV infection than other urban residents? Evidence from population-based HIV prevalence surveys in Kenya,,,,,,"£2,312.30",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
23085938,None,10.1016/j.healthplace.2012.09.001,Elsevier,Elsevier,1353-8292,2.42,Health & Place,Hybrid,Determinants and spatial patterns of adult overweight and hypertension in a high HIV prevalence rural South African population,,,,,No,"£1,836.92",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3591252,10.1016/j.healthplace.2012.11.008,Elsevier,Elsevier,1353-8292,2.42,Health & Place,Hybrid,Is the environmental setting associated with the intensity and duration of children’s physical activity? Findings from the SPEEDY GPS study,,,,,,"£1,749.74",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3690473,10.1016/j.imbio.2012.06.009,Elsevier,Elsevier,0171-2985,2.81,Immunobiology,Hybrid,Regulation of TGFbeta in the immune system: an emerging role for integrins and dendritic cells,,,,,,"£2,317.94",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3684771,10.1016/j.imlet.2013.03.004,Elsevier,European Federation of Immunological Societies,0165-2478,2.34,Immunology Letters,Hybrid,Sources of heterogeneity in human monocyte subsets,,,,,,"£2,961.92",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
,PMC3438445,10.1016/j.meegid.2012.06.001,Elsevier,Elsevier,1567-1348,2.77,"Infection, Genetics and Evolution",Hybrid,The emergence and maintenance of sickle cell hotspots in the mediterranean,,,,,,"£1,770.62",Stuart Lawson,,ROMEO,PMC,DOI,Metadata,OAG
